,antiviral
1230,0
1231,0
1232,1
1233,0
1234,0
1235,0
1236,0
1237,0
1238,1
1239,1
1240,0
1241,0
1242,0
1243,0
1244,1
1245,0
1246,0
1247,0
1248,0
1249,0
1250,0
1251,1
1252,0
1253,1
1254,1
1255,0
1256,0
1257,0
1258,0
1259,0
1260,0
1261,0
1262,1
1263,0
1264,0
1265,0
1266,0
1267,1
1268,1
1269,1
1270,1
1271,0
1272,0
1273,0
1274,0
1275,0
1276,1
1277,1
1278,0
1279,0
1280,0
1281,1
1282,1
1283,1
1284,0
1285,0
1286,0
1287,0
1288,0
1289,1
1290,0
1291,0
1292,0
1293,1
1294,1
1295,0
1296,0
1297,0
1298,0
1299,0
1300,0
1301,1
1302,0
1303,0
1304,1
1305,1
1306,0
1307,0
1308,1
1309,0
1310,1
1311,1
1312,0
1313,0
1314,0
1315,1
1316,1
1317,0
1318,0
1319,0
1320,1
1321,0
1322,1
1323,1
1324,0
1325,0
1326,0
1327,1
1328,0
1329,0
1330,0
1331,0
1332,0
1333,1
1334,0
1335,1
1336,1
1337,0
1338,0
1339,0
1340,0
1341,0
1342,1
1343,0
1344,1
1345,1
1346,0
1347,1
1348,0
1349,1
1350,0
1351,0
1352,0
1353,1
1354,0
1355,0
1356,0
1357,1
1358,1
1359,0
1360,1
1361,1
1362,0
1363,1
1364,0
1365,0
1366,0
1367,0
1368,0
1369,0
1370,1
1371,1
1372,0
1373,1
1374,1
1375,0
1376,1
1377,1
1378,0
1379,1
1380,0
1381,0
1382,0
1383,1
1384,0
1385,0
1386,0
1387,1
1388,0
1389,1
1390,0
1391,0
1392,1
1393,0
1394,0
1395,0
1396,0
1397,0
1398,0
1399,0
1400,0
1401,1
1402,0
1403,0
1404,1
1405,0
1406,1
1407,0
1408,0
1409,0
1410,0
1411,0
1412,1
1413,0
1414,0
1415,0
1416,0
1417,0
1418,1
1419,0
1420,0
1421,1
1422,0
1423,0
1424,1
1425,0
1426,0
1427,0
1428,0
1429,1
1430,0
1431,1
1432,1
1433,1
1434,0
1435,0
1436,1
1437,1
1438,0
1439,0
1440,0
1441,0
1442,1
1443,1
1444,1
1445,0
1446,1
1447,0
1448,0
1449,0
1450,0
1451,0
1452,1
1453,1
1454,0
1455,0
1456,0
1457,1
1458,0
1459,0
1460,0
1461,1
1462,0
1463,0
1464,0
1465,0
1466,1
1467,0
1468,1
1469,0
1470,0
1471,0
1472,0
1473,0
1474,0
1475,1
1476,0
1477,1
1478,1
1479,0
1480,0
1481,1
1482,1
1483,0
1484,0
1485,0
1486,1
1487,0
1488,1
1489,0
1490,0
1491,1
1492,1
1493,1
1494,1
1495,1
1496,0
1497,0
1498,0
1499,1
1500,0
1501,0
1502,0
1503,0
1504,1
1505,0
1506,0
1507,0
1508,0
1509,0
1510,0
1511,0
1512,0
1513,0
1514,0
1515,0
1516,0
1517,0
1518,0
1519,1
1520,1
1521,0
1522,0
1523,1
1524,0
1525,0
1526,0
1527,0
1528,0
1529,1
1530,0
1531,0
1532,0
1533,0
1534,1
1535,0
1536,0
1537,0
1538,0
1539,0
1540,0
1541,0
1542,0
1543,1
1544,0
1545,1
1546,1
1547,0
1548,0
1549,0
1550,0
1551,0
1552,0
1553,1
1554,0
1555,0
1556,0
1557,0
1558,0
1559,0
1560,0
1561,0
1562,1
1563,1
1564,1
1565,1
1566,0
1567,0
1568,1
1569,0
1570,0
1571,0
1572,0
1573,1
1574,0
1575,0
1576,0
1577,1
1578,0
1579,0
1580,0
1581,0
1582,1
1583,0
1584,0
1585,0
1586,1
1587,1
1588,0
1589,0
1590,1
1591,0
1592,0
1593,0
1594,0
1595,0
1596,1
1597,0
1598,1
1599,1
1600,0
1601,0
1602,1
1603,0
1604,0
1605,0
1606,1
1607,1
1608,0
1609,1
1610,0
1611,1
1612,0
1613,1
1614,0
1615,0
1616,0
1617,0
1618,0
1619,0
1620,1
1621,1
1622,0
1623,0
1624,0
1625,0
1626,1
1627,1
1628,1
1629,0
1630,0
1631,1
1632,0
1633,1
1634,1
1635,0
1636,1
1637,0
1638,1
1639,0
1640,0
1641,0
1642,0
1643,0
1644,1
1645,0
1646,0
1647,1
1648,1
1649,0
1650,0
1651,1
1652,0
1653,1
1654,0
1655,0
1656,0
1657,0
1658,0
1659,0
1660,1
1661,0
1662,0
1663,1
1664,0
1665,1
1666,0
1667,1
1668,1
1669,0
1670,1
1671,0
1672,1
1673,1
1674,0
1675,1
1676,0
1677,0
1678,1
1679,0
1680,1
1681,0
1682,0
1683,1
1684,1
1685,0
1686,0
1687,1
1688,0
1689,0
1690,1
1691,1
1692,0
1693,0
1694,0
1695,0
1696,1
1697,0
1698,1
1699,0
1700,1
1701,1
1702,1
1703,0
1704,1
1705,0
1706,1
1707,1
1708,0
1709,0
1710,0
1711,0
1712,0
1713,0
1714,1
1715,0
1716,1
1717,0
1718,0
1719,1
1720,0
1721,0
1722,1
1723,0
1724,0
1725,0
1726,0
1727,1
1728,0
1729,1
1730,0
1731,0
1732,0
1733,0
1734,0
1735,0
1736,0
1737,0
1738,1
1739,0
1740,1
1741,1
1742,1
1743,1
1744,0
1745,0
1746,0
1747,1
1748,0
1749,0
1750,0
1751,0
1752,0
1753,0
1754,1
1755,0
1756,1
1757,1
1758,1
1759,0
1760,0
1761,0
1762,1
1763,0
1764,1
1765,0
1766,0
1767,0
1768,1
1769,0
1770,1
1771,1
1772,0
1773,0
1774,1
1775,0
1776,1
1777,0
1778,0
1779,1
1780,0
1781,1
1782,0
1783,0
1784,0
1785,1
1786,0
1787,0
1788,0
1789,0
1790,0
1791,1
1792,0
1793,1
1794,1
1795,1
1796,1
1797,1
1798,0
1799,1
1800,0
1801,0
1802,0
1803,1
1804,1
1805,0
1806,1
1807,0
1808,0
1809,0
1810,1
1811,1
1812,1
1813,0
1814,1
1815,0
1816,0
1817,0
1818,0
1819,0
1820,1
1821,0
1822,0
1823,1
1824,0
1825,0
1826,0
1827,0
1828,1
1829,0
1830,1
1831,1
1832,0
1833,1
1834,1
1835,0
1836,0
1837,1
1838,0
1839,0
1840,1
1841,0
1842,0
1843,0
1844,0
1845,0
1846,0
1847,0
1848,1
1849,0
1850,0
1851,0
1852,0
1853,0
1854,0
1855,0
1856,0
1857,1
1858,1
1859,0
1860,0
1861,1
1862,0
1863,0
1864,1
1865,1
1866,0
1867,1
1868,0
1869,1
1870,1
1871,0
1872,0
1873,0
1874,0
1875,0
1876,1
1877,0
1878,0
1879,1
1880,1
1881,0
1882,0
1883,1
1884,0
1885,0
1886,0
1887,0
1888,0
1889,1
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,1
1897,1
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,1
1907,0
1908,0
1909,1
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,1
1919,0
1920,1
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,1
1932,0
1933,0
1934,0
1935,1
1936,1
1937,0
1938,1
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,1
1946,0
1947,0
1948,0
1949,0
1950,1
1951,0
1952,1
1953,0
1954,1
1955,1
1956,0
1957,1
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,1
1973,0
1974,0
1975,0
1976,0
1977,0
1978,1
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,1
1994,1
1995,0
1996,1
1997,0
1998,0
1999,1
2000,0
2001,0
2002,0
2003,1
2004,1
2005,0
2006,0
2007,0
2008,1
2009,0
2010,1
2011,1
2012,0
2013,0
2014,0
2015,0
2016,0
2017,0
2018,0
2019,1
2020,0
2021,0
2022,0
2023,1
2024,0
2025,0
2026,0
2027,0
2028,0
2029,0
2030,0
2031,0
2032,0
2033,0
2034,0
2035,1
2036,1
2037,0
2038,0
2039,1
2040,0
2041,0
2042,1
2043,0
2044,0
2045,0
2046,0
2047,1
2048,0
2049,0
2050,1
2051,1
2052,0
2053,0
2054,0
2055,0
2056,1
2057,1
2058,0
2059,0
2060,1
2061,1
2062,0
2063,0
2064,0
2065,1
2066,0
2067,0
2068,0
2069,0
2070,1
2071,0
2072,0
2073,0
2074,1
2075,0
2076,0
2077,1
2078,0
2079,0
2080,1
2081,1
2082,1
2083,1
2084,0
2085,0
2086,0
2087,0
2088,1
2089,1
2090,1
2091,0
2092,0
2093,1
2094,1
2095,0
2096,0
2097,0
2098,1
2099,1
2100,1
2101,1
2102,1
2103,1
2104,1
2105,1
2106,0
2107,0
2108,1
2109,1
2110,0
2111,0
2112,0
2113,0
2114,0
2115,1
2116,1
2117,0
2118,1
2119,0
2120,0
2121,1
2122,1
2123,0
2124,0
2125,0
2126,0
2127,0
2128,0
2129,0
2130,0
2131,0
2132,0
2133,1
2134,1
2135,1
2136,0
2137,0
2138,1
2139,1
2140,0
2141,0
2142,0
2143,0
2144,0
2145,0
2146,1
2147,0
2148,0
2149,0
2150,0
2151,0
2152,0
2153,0
2154,1
2155,0
2156,0
2157,1
2158,0
2159,1
2160,0
2161,0
2162,0
2163,0
2164,0
2165,0
2166,0
2167,0
2168,1
2169,1
2170,0
2171,0
2172,1
2173,1
2174,1
2175,0
2176,0
2177,1
2178,0
2179,0
2180,1
2181,0
2182,0
2183,0
2184,1
2185,0
2186,0
2187,0
2188,1
2189,0
2190,0
2191,0
2192,0
2193,1
2194,0
2195,1
2196,1
2197,0
2198,0
2199,0
2200,1
2201,0
2202,1
2203,0
2204,0
2205,0
2206,0
2207,0
2208,1
2209,0
2210,0
2211,0
2212,0
2213,0
2214,0
2215,1
2216,0
2217,0
2218,0
2219,0
2220,0
2221,0
2222,0
2223,0
2224,0
2225,0
2226,0
2227,0
2228,0
2229,0
2230,0
2231,0
2232,0
2233,1
2234,1
2235,1
2236,0
2237,0
2238,1
2239,0
2240,1
2241,0
2242,1
2243,0
2244,0
2245,0
2246,0
2247,0
2248,1
2249,1
2250,0
2251,0
2252,1
2253,0
2254,0
2255,0
2256,0
2257,1
2258,1
2259,0
2260,0
2261,1
2262,1
2263,0
2264,0
2265,0
2266,0
2267,1
2268,0
2269,0
2270,0
2271,0
2272,1
2273,0
2274,1
2275,1
2276,0
2277,1
2278,0
2279,1
2280,0
2281,0
2282,0
2283,0
2284,0
2285,1
2286,0
2287,1
2288,0
2289,1
2290,0
2291,0
2292,0
2293,0
2294,0
2295,0
2296,1
2297,0
2298,0
2299,0
2300,0
2301,0
2302,1
2303,0
2304,0
2305,0
2306,0
2307,0
2308,0
2309,1
2310,1
2311,0
2312,0
2313,0
2314,0
2315,1
2316,0
2317,0
2318,0
2319,0
2320,0
2321,0
2322,0
2323,0
2324,0
2325,1
2326,0
2327,0
2328,0
2329,0
2330,0
2331,1
2332,0
2333,0
2334,0
2335,0
2336,0
2337,1
2338,0
2339,1
2340,0
2341,0
2342,1
2343,0
2344,1
2345,1
2346,0
2347,0
2348,1
2349,0
2350,0
2351,0
2352,1
2353,0
2354,1
2355,0
2356,0
2357,0
2358,0
2359,0
2360,0
2361,1
2362,0
2363,1
2364,0
2365,0
2366,1
2367,0
2368,1
2369,0
2370,0
2371,1
2372,0
2373,1
2374,0
2375,0
2376,0
2377,0
2378,0
2379,0
2380,0
2381,1
2382,0
2383,1
2384,0
2385,1
2386,1
2387,1
2388,0
2389,0
2390,0
2391,1
2392,0
2393,0
2394,1
2395,1
2396,0
2397,0
2398,0
2399,0
2400,1
2401,1
2402,1
2403,0
2404,0
2405,1
2406,0
2407,1
2408,0
2409,0
2410,0
2411,0
2412,1
2413,0
2414,0
2415,0
2416,0
2417,1
2418,0
2419,0
2420,0
2421,0
2422,0
2423,1
2424,1
2425,1
2426,0
2427,0
2428,0
2429,0
2430,0
2431,0
2432,0
2433,0
2434,0
2435,0
2436,1
2437,1
2438,0
2439,0
2440,0
2441,0
2442,1
2443,1
2444,0
2445,0
2446,0
2447,1
2448,0
2449,0
2450,1
2451,0
2452,1
2453,0
2454,1
2455,1
2456,0
2457,0
2458,1
2459,1
2460,1
2461,0
2462,1
2463,1
2464,0
2465,0
2466,1
2467,0
2468,1
2469,1
2470,0
2471,0
2472,0
2473,0
2474,0
2475,1
2476,1
2477,0
2478,0
2479,0
2480,0
2481,0
2482,1
2483,1
2484,0
2485,1
2486,0
2487,0
2488,1
2489,0
2490,0
2491,1
2492,0
2493,0
2494,0
2495,0
2496,0
2497,1
2498,0
2499,1
2500,0
2501,1
2502,0
2503,1
2504,1
2505,1
2506,0
2507,1
2508,0
2509,0
2510,1
2511,0
2512,1
2513,0
2514,0
2515,0
2516,0
2517,0
2518,1
2519,1
2520,1
2521,0
2522,0
2523,1
2524,0
2525,0
2526,0
2527,0
2528,0
2529,0
2530,0
2531,0
2532,1
2533,1
2534,0
2535,0
2536,0
2537,0
2538,1
2539,0
2540,1
2541,0
2542,1
2543,0
2544,1
2545,1
2546,0
2547,1
2548,0
2549,0
2550,1
2551,1
2552,0
2553,1
2554,0
2555,1
2556,0
2557,0
2558,0
2559,0
2560,0
2561,0
2562,0
2563,0
2564,1
2565,0
2566,1
2567,0
2568,1
2569,1
2570,0
2571,1
2572,0
2573,0
2574,0
2575,1
2576,0
2577,0
2578,0
2579,0
2580,1
2581,0
2582,0
2583,0
2584,0
2585,0
2586,0
2587,1
2588,0
2589,1
2590,0
2591,1
2592,0
2593,1
2594,1
2595,0
2596,0
2597,1
2598,0
2599,1
2600,1
2601,0
2602,0
2603,1
2604,0
2605,1
2606,0
2607,1
2608,0
2609,1
2610,1
2611,0
2612,0
2613,1
2614,0
2615,1
2616,0
2617,1
2618,1
2619,0
2620,1
2621,0
2622,0
2623,0
2624,1
2625,0
2626,1
2627,1
2628,0
2629,0
2630,1
2631,0
2632,0
2633,1
2634,0
2635,0
2636,1
2637,0
2638,0
2639,0
2640,1
2641,0
2642,0
2643,1
2644,0
2645,0
2646,1
2647,0
2648,0
2649,0
2650,0
2651,0
2652,1
2653,0
2654,0
2655,0
2656,0
2657,0
2658,0
2659,0
2660,1
2661,1
2662,1
2663,0
2664,1
2665,0
2666,0
2667,0
2668,0
2669,1
2670,0
2671,1
2672,0
2673,1
2674,1
2675,0
2676,0
2677,0
2678,0
2679,1
2680,1
2681,0
2682,0
2683,0
2684,0
2685,0
2686,0
2687,1
2688,0
2689,1
2690,0
2691,1
2692,0
2693,0
2694,0
2695,0
2696,0
2697,0
2698,0
2699,0
2700,0
2701,0
2702,0
2703,1
2704,0
2705,0
2706,1
2707,0
2708,0
2709,1
2710,1
2711,0
2712,0
2713,1
2714,0
2715,1
2716,1
2717,0
2718,0
2719,1
2720,0
2721,0
2722,0
2723,0
2724,0
2725,1
2726,1
2727,0
2728,0
2729,1
2730,1
2731,0
2732,0
2733,0
2734,1
2735,1
2736,0
2737,1
2738,1
2739,1
2740,0
2741,0
2742,0
2743,0
2744,0
2745,0
2746,0
2747,1
2748,0
2749,1
2750,0
2751,0
2752,0
2753,0
2754,0
2755,0
2756,0
2757,0
2758,1
2759,1
2760,0
2761,0
2762,0
2763,0
2764,1
2765,1
2766,1
2767,0
2768,1
2769,0
2770,0
2771,0
2772,0
2773,0
2774,0
2775,0
2776,1
2777,1
2778,0
2779,0
2780,1
2781,0
2782,1
2783,0
2784,0
2785,0
2786,0
2787,0
2788,1
2789,1
2790,0
2791,0
2792,0
2793,0
2794,0
2795,0
2796,1
2797,0
2798,0
2799,0
2800,0
2801,0
2802,0
2803,0
2804,0
2805,1
2806,1
2807,0
2808,1
2809,0
2810,1
2811,0
2812,0
2813,1
2814,0
2815,1
2816,0
2817,0
2818,1
2819,0
2820,0
2821,0
2822,0
2823,1
2824,1
2825,1
2826,0
2827,1
2828,0
2829,0
2830,0
2831,0
2832,1
2833,0
2834,0
2835,0
2836,0
2837,1
2838,0
2839,0
2840,1
2841,0
2842,0
2843,1
2844,0
2845,0
2846,1
2847,0
2848,1
2849,1
2850,0
2851,0
2852,0
2853,0
2854,0
2855,1
2856,1
2857,0
2858,0
2859,0
2860,0
2861,0
2862,0
2863,1
2864,0
2865,0
2866,0
2867,0
2868,0
2869,0
2870,0
2871,0
2872,0
2873,0
2874,0
2875,1
2876,0
2877,0
2878,0
2879,0
2880,0
2881,1
2882,1
2883,0
2884,0
2885,1
2886,0
2887,1
2888,0
2889,0
2890,1
2891,1
2892,1
2893,0
2894,0
2895,1
2896,0
2897,1
2898,1
2899,0
2900,0
2901,0
2902,0
2903,0
2904,0
2905,0
2906,1
2907,0
2908,0
2909,0
2910,0
2911,0
2912,0
2913,0
2914,1
2915,1
2916,1
2917,1
2918,1
2919,0
2920,0
2921,0
2922,0
2923,0
2924,0
2925,1
2926,1
2927,0
2928,0
2929,1
2930,0
2931,0
2932,0
2933,0
2934,1
2935,1
2936,0
2937,1
2938,0
2939,1
2940,0
2941,0
2942,0
2943,0
2944,0
2945,1
2946,1
2947,1
2948,1
2949,0
2950,1
2951,0
2952,0
2953,0
2954,1
2955,0
2956,1
2957,0
2958,1
2959,0
2960,1
2961,0
2962,0
2963,1
2964,0
2965,0
2966,0
2967,0
2968,0
2969,1
2970,1
2971,0
2972,0
2973,1
2974,0
2975,1
2976,0
2977,0
2978,0
2979,0
2980,1
2981,0
2982,0
2983,1
2984,0
2985,0
2986,1
2987,0
2988,0
2989,0
2990,0
2991,0
2992,0
2993,0
2994,0
2995,1
2996,0
