,sent
36,"Due to the homology in epidemiology, genomics, and pathogenesis of the SARS-CoV-2 and SARS-CoV, and the widely use of TCM in the treatment of SARS-CoV, the clinical evidence showing the beneficial effect of TCM in the treatment of patients with SARS coronaviral infections are discussed."
37,"Current experiment studies that provide an insight into the mechanism underlying the therapeutic effect of TCM, and those studies identified novel naturally occurring compounds with anti-coronaviral activity are also introduced."
38," The pandemic of new coronavirus disease COVID-19 is threatening our health, economy and life style."
39,Collaborations across countries and sectors as a One Health World could be a milestone.
40,"We propose a general protocol, for setting timely active random surveillance of COVID-19, at the human community level, with systematic repeated detection efforts."
41,Strengths and limitations are discussed.
42,"If considered applicable by public health, the protocol could evaluate the status of COVID-19 epidemics consistently and objectively."
43, Coronavirus disease (COVID-19) is caused by SARS-COV2 and represents the causative agent of a potentially fatal disease that is of great global public health concern.
44,"Based on the large number of infected people that were exposed to the wet animal market in Wuhan City, China, it is suggested that this is likely the zoonotic origin of COVID-19."
45,Person-to-person transmission of COVID-19 infection led to the isolation of patients that were subsequently administered a variety of treatments.
46,Extensive measures to reduce person-to-person transmission of COVID-19 have been implemented to control the current outbreak.
47,"Special attention and efforts to protect or reduce transmission should be applied in susceptible populations including children, health care providers, and elderly people."
48,"In this review, we highlights the symptoms, epidemiology, transmission, pathogenesis, phylogenetic analysis and future directions to control the spread of this fatal disease."
49,"Motivated by the rapid spread of COVID-19 all across the globe, we have performed simulations of a system dynamic epidemic spread model in different possible situations."
50,"The simulation, not only captures the model dynamic of the spread of the virus, but also, takes care of population and mobility data."
51,"The model is calibrated based on epidemic data and events specifically of Sultanate of Oman, which can easily be generalized."
52,"The simulation results are quite disturbing, indicating that, during a process of stringent social distancing and testing strategies, a small perturbation can lead to quite undesirable outcomes."
53,"The simulation results, although consistent in expected outcomes across changing parameters' values, also indicate a substantial mismatch with real numbers."
54,An analysis of what can be the reason of this mismatch is also performed.
55,"Within these contradictions, for Oman, regarding the eradication of epidemic, the future is not extremely alarming."
56,"Introduction: Recently, a new strain of coronaviruses, which originated from Wuhan City, Hubei Province, China has been identified."
57,"According to the high prevalence of new coronavirus, further investigation on the clinical and paraclinical features of this disease seems essential."
58,"Hence, we carried out this systematic review and meta-analysis to figure out the unknown features."
59,"Methods: This study was performed using databases of Web of Science, Scopus and PubMed."
60,"We considered English cross-sectional and case-series papers which reported clinical, radiological, and laboratory characteristics of patients with COVID-19."
61,We used STATA v.11 and random effect model for data analysis.
62,"Results: In the present meta-analysis, 32 papers including 49504 COVID-19 patients were studied."
63,"The most common clinical symptoms were fever (84%), cough (65%) and fatigue (42%), respectively."
64,"The most common radiological and paraclinical features were bilateral pneumonia (61%), ground-glass opacity (50%), thrombocytopenia (36%) and lymphocytopenia (34%)."
65,The study also showed that the frequency of comorbidities and early symptoms was higher in critically severe patients.
66,"Moreover, we found the overall mortality rate of three percent."
67,"Conclusion: According to that there are many cases without Computed Tomography Scan findings or clear clinical symptoms, it is recommended to use other confirming methods such RNA sequencing in order to identification of suspicious undiagnosed patients."
68,"Moreover, while there is no access to clinical and paraclinical facilities in in public places such as airports and border crossings, it is recommended to consider factors such as fever, cough, sputum and fatigue."
69,"Objective To determine the correlation between menstruation status/sex hormones and prognosis of COVID-19, and to identify potential protective factors for female patients."
70,"Design, Setting, and Participants A cross-sectional study of COVID-19 patients who were hospitalized at Tongji and Mobile Cabin Hospitals from Jan 28, 2020 to March 8, 2020."
71,"Sex differences in severity and composite endpoints (admission to intensive care unit (ICU), use of mechanical ventilation, or death) of COVID-19 patients were compared."
72,The correlation analysis and cox/logistic regression modeling of menstruation status/sex hormones and prognosis were conducted.
73,Correlation between cytokines related to immunity and inflammation and disease severity or estradiol (E2) was revealed.Results Chi square test indicated significant differences in distribution of composite endpoints (p<0.01) and disease severity (p=0.05) between male and female patients (n=1902).
74,435 female COVID-19 patients with menstruation records were recruited.
75,"By the end of Mar 8, 111 patients recovered and discharged (25.3%)."
76,"Multivariate Cox regression model adjusted for age and severity indicated that post-menopausal patients show the greater risk of hospitalization time than non-menopausal patients (relative hazard [RH], 1.91; 95% confidence interval [CI], 1.06-3.46)Logistic regression model showed that higher AMH as a control for age increases the risk of severity of COVID-19 (HR=0.146, 95%CI= (0.026-0.824) p=0.029)."
77,"E2 showed protective effect against disease severity (HR=0.335, 95%CI= (0.105-1.070), p=0.046).In the Mann-Whitney U test, the higher levels of IL6 and IL8 were found in severe group (p=0.040, 0.033).The higher levels of IL2R, IL6, IL8 and IL10 were also observed in patients with composite end points(p＜0.001,＜0.001, =0.009, = 0.040).E2 levels were negatively correlated with IL2R, IL6, IL8 and TNFα in luteal phase (Pearson Correlation=-0.592, -0.558, -0.545, -0.623; p=0.033, 0.048, 0.054, 0.023) and with C3 in follicular phase (Pearson Correlation=-0.651; p=0.030)."
78,Conclusions and Relevance Menopause is an independent risk factor for COVID-19.
79,E2 and AMH are negatively correlated with COVID-19 severity probably due to their regulation of cytokines related to immunity and inflammation.
80, The 2019-nCoV is officially called SARS-CoV-2 and the disease is named COVID-19.
81,"This viral epidemic in China has led to the deaths of over 1800 people, mostly elderly or those with an underlying chronic disease or immunosuppressed state."
82,"This is the third serious Coronavirus outbreak in less than 20 years, following SARS in 2002–2003 and MERS in 2012."
83,"While human strains of Coronavirus are associated with about 15% of cases of the common cold, the SARS-CoV-2 may present with varying degrees of severity, from flu-like symptoms to death."
84,"It is currently believed that this deadly Coronavirus strain originated from wild animals at the Huanan market in Wuhan, a city in Hubei province."
85,"Bats, snakes and pangolins have been cited as potential carriers based on the sequence homology of CoV isolated from these animals and the viral nucleic acids of the virus isolated from SARS-CoV-2 infected patients."
86,"Extreme quarantine measures, including sealing off large cities, closing borders and confining people to their homes, were instituted in January 2020 to prevent spread of the virus, but by that time much of the damage had been done, as human-human transmission became evident."
87,"While these quarantine measures are necessary and have prevented a historical disaster along the lines of the Spanish flu, earlier recognition and earlier implementation of quarantine measures may have been even more effective."
88,Lessons learned from SARS resulted in faster determination of the nucleic acid sequence and a more robust quarantine strategy.
89,"However, it is clear that finding an effective antiviral and developing a vaccine are still significant challenges."
90,"The costs of the epidemic are not limited to medical aspects, as the virus has led to significant sociological, psychological and economic effects globally."
91,"Unfortunately, emergence of SARS-CoV-2 has led to numerous reports of Asians being subjected to racist behavior and hate crimes across the world."
92,"Background There had been a preliminary occurrence of human-to-human transmissions between healthcare workers (HCWs), but risk factors in the susceptibility for COVID-19, and infection patterns among HCWs have largely remained unknown."
93,"Methods Retrospective data collection on demographics, lifestyles, contact status with infected subjects for 118 HCWs (include 12 COVID-19 HCWs) from a single-center."
94,"Sleep quality and working pressure were evaluated by Pittsburgh Sleep Quality Index (PSQI) and The Nurse Stress Index (NSI), respectively."
95,"Follow-up duration was from Dec 25, 2019, to Feb 15, 2020."
96,Risk factors and transmission models of COVID-19 among HCWs were analyzed and constructed.
97,Findings A high proportion of COVID-19 HCWs had engaged in night shift-work (75.0% vs. 40.6%) and felt they were working under pressure (66.7% vs. 32.1%) than uninfected HCWs.
98,COVID-19 HCWs had higher total scores of PSQI and NSI than uninfected HCWs.
99,"Furthermore, these scores were both positively associated with COVID-19 risk."
100,"An individual-based model (IBM) estimated the outbreak duration among HCWs in a non-typical COVID-19 ward at 62-80 days and the basic reproduction number =1.27 [1.06, 1.61]."
101,"By reducing the average contact rate per HCW by a 1.35 factor and susceptibility by a 1.40 factor, we can avoid an outbreak of the basic case among HCWs."
102,Interpretation Poor sleep quality and high working pressure were positively associated with high risks of COVID-19.
103,A novel IBM of COVID-19 transmission is suitable for simulating different outbreak patterns in a hospital setting.
104,There are significant misconceptions and many obstacles in the way of illuminating the epidemiological and clinical aspects of COVID-19 as a new emerging epidemic.
105,"In addition, usefulness of some evidence published in the context of the recent epidemic for decision making in clinic as well as public health is questionable."
106,"However, misinterpreting or ignoring strong evidence in clinical practice and public health probably results in less effective and somehow more harmful decisions for individuals as well as subgroups in general populations of countries in the initial stages of this epidemic."
107,"Accordingly, our narrative review appraised epidemiological and clinical aspects of the disease including genetic diversity of coronavirus genus, mode of transmission, incubation period, infectivity, pathogenicity, virulence, immunogenicity, diagnosis, surveillance, clinical case management and also successful measures for preventing its spread in some communities."
108,Trend and forecasting of the COVID-19 outbreak in China
109,Analysis of angiotensin-converting enzyme 2 (ACE2) from different species sheds some light on cross-species receptor usage of a novel coronavirus 2019-nCoV
110,"Objective: To review and critically appraise published and preprint reports of models that aim to predict either (i) presence of existing COVID-19 infection, or (ii) future complications in individuals already diagnosed with COVID-19."
111,Any models to identify subjects at risk for COVID-19 in the general population were also included.
112,Design: Rapid systematic review and critical appraisal of prediction models for diagnosis or prognosis of COVID-19 infection.
113,"Data sources: PubMed, EMBASE via Ovid, Arxiv, medRxiv and bioRxiv until 13th March 2020."
114,Study selection: Studies that developed or validated a multivariable COVID-19 related prediction model.
115,Two authors independently screened titles and abstracts.
116,"Data extraction: Data from included studies were extracted independently by at least two authors based on the CHARMS checklist, and risk of bias was assessed using PROBAST."
117,"Data were extracted on various domains including the participants, predictors, outcomes, data analysis, and prediction model performance."
118,Results: 1916 titles were screened.
119,"Of these, 15 studies describing 19 prediction models were included for data extraction and critical appraisal."
120,"We identified three models to predict hospital admission from pneumonia and other events (as a proxy for covid-19 pneumonia) in the general population; nine diagnostic models to detect COVID-19 infection in symptomatic individuals (seven of which were deep learning models for COVID-19 diagnosis utilising computed tomography (CT) results); and seven prognostic models for predicting mortality risk, or length of hospital stay."
121,None of the 15 studies used data on COVID-19 cases outside of China.
122,"Predictors included in more than one of the 19 models were: age, sex, comorbidities, C-reactive protein, lymphocyte markers (percentage or neutrophil-to-lymphocyte ratio), lactate dehydrogenase, and features derived from CT images."
123,"Reported C-index estimates for the prediction models ranged from 0.73 to 0.81 in those for the general population (reported for all 3 general population models), from 0.81 to > 0.99 in those for diagnosis (reported for 5 of the 9 diagnostic models), and from 0.90 to 0.98 in those for prognosis (reported for 4 of the 7 prognostic models)."
124,"All studies were rated at high risk of bias, mostly because of non-representative selection of control patients, exclusion of patients who had not experienced the event of interest by the end of the study, and poor statistical analysis, including high risk of model overfitting."
125,Reporting quality varied substantially between studies.
126,"A description of the study population and intended use of the models was absent in almost all reports, and calibration of predictions was rarely assessed."
127,"Conclusion: COVID-19 related prediction models for diagnosis and prognosis are quickly entering the academic literature through publications and preprint reports, aiming to support medical decision making in a time where this is needed urgently."
128,Many models were poorly reported and all appraised as high risk of bias.
129,We call for immediate sharing of the individual participant data from COVID-19 studies worldwide to support collaborative efforts in building more rigously developed and validated COVID-19 related prediction models.
130,The predictors identified in current studies should be considered for potential inclusion in new models.
131,"We also stress the need to adhere to methodological standards when developing and evaluating COVID-19 related predictions models, as unreliable predictions may cause more harm than benefit when used to guide clinical decisions about COVID-19 in the current pandemic."
132," Because in the past vaccines were considered inherently safe, only limited nonclinical testing used to be required."
133,"However, from about 2003 more stringent nonclinical testing guidelines were introduced for novel vaccines (and, in some cases, marketed vaccines attempting registration in new markets) given that vaccines are typically administered to healthy individuals, often infants."
134,"These safety considerations become even more important as technologies allowing the development of novel vaccine types are developed, such as DNA vaccines and those delivered in vector systems such as adenoviral vectors."
135,The use of adjuvants other than the standard aluminum-based ones and novel delivery systems such as electrostimulation have also led to additional testing requirements.
136,This chapter describes the current regulatory expectations for the preclinical development of vaccines.
137,Several factors should be taken into account when it comes to the first exposure of humans to a novel vaccine.
138,"Over the past century, vaccines have made a large impact on public health."
139,"Prophylactic vaccines prevent disability and disease, saving millions of dollars in potential health-care spending."
140,"Since prophylactic vaccines are administered to healthy individuals, including infants and children, it is important to demonstrate the safety of vaccines preclinically prior to testing the vaccine in clinical studies."
141,"A benefit-to-risk profile is considered for each individual vaccine and depends on many factors including preclinical and clinical toxicities that are observed, frequency of administration and intended target population."
142,"For prophylactic vaccines, in particular, the concerns about potential risks often outweigh the perception of benefit [1]."
143,"Therefore, over the past decade, there has been an increased focus on nonclinical safety assessment of vaccines, including toxicity testing."
144,Histology of colitis:Saguinus oedipus oedipus and other marmosets
145, The ability of a pure virus infection to induce an acute phase protein response is of interest as viral infections are normally considered to be less efficient in inducing an acute phase protein response than bacterial infections.
146,"This was studied in a bovine model for infection with bovine respiratory syncytial virus (BRSV), analysing the induction of the two most dominant bovine acute phase proteins haptoglobin and serum amyloid A (SAA)."
147,"Strong and reproducible acute phase responses were detected for both proteins, peaking at around 7–8 days after inoculation of BRSV, while no response was seen in mock-inoculated control animals."
148,The serum concentrations reached for SAA and haptoglobin during the BRSV-induced acute phase response were generally the same or higher than previously reported for bacterial infections in calves.
149,The magnitude and the duration of the haptoglobin response was found to correlate well with the severity of clinical signs (fever) and with the extent of lung consolidation while SAA responded most rapidly to infection.
150,"Hendra virus (HeV) and Nipah virus (NiV) are closely related, recently emerged paramyxoviruses that form Henipavirus genus and are capable of causing considerable morbidity and mortality in a number of mammalian species, including humans."
151,"However, in contrast to many other species and despite expression of functional virus entry receptors, mice are resistant to henipavirus infection."
152,We report here the susceptibility of mice deleted for the type I interferon receptor (IFNAR-KO) to both HeV and NiV.
153,"Intraperitoneally infected mice developed fatal encephalitis, with pathology and immunohistochemical features similar to what was found in humans."
154,"Viral RNA was found in the majority of analyzed organs, and sublethally infected animals developed virus-specific neutralizing antibodies."
155,"Altogether, these results reveal IFNAR-KO mice as a new small animal model to study HeV and NiV pathogenesis, prophylaxis, and treatment and suggest the critical role of type I interferon signaling in the control of henipavirus infection."
156," The purpose of this subacute 22-day study was to evaluate methods for canine circulating immunoglobulins (IgM, IgG, and IgE) and select B- and T-lymphocyte populations (CD4-helpers, CD8-suppressors, pan-T and pan-B) for immunotoxicity testing using an organ system (concordance) approach."
157,"The challenge substance for immunoglobulin testing was repeated immunization with six-way distemper vaccination (DHLAPP), while the challenge substance for leukocyte subpopulations was treatment with cyclophosphamide."
158,"Immunoglobulin measurements were made by capture enzyme-linked immunosorbent assay (ELISA), and leukocyte immunophenotyping by fluorescein isothiocyanate/phycoerythrin conjugation (flow cytometry)."
159,A battery of parameters that would be used in a typical regulatory study were taken to aid interpretation of the data generated by these methods.
160,"Body weights, food consumption, clinical observations, complete clinical chemistry and urinalysis measurements were taken."
161,"Gross pathology and micropathology of sternal bone marrow, spleen, mesenteric and retropharyngeal lymph nodes, thymus, liver and kidney were completed."
162,"The ELISA method demonstrated acceptable intra-assay reproducibility for IgM, IgG and IgE, with values in good agreement as reported for radial immunodiffusion."
163,"The immunologic challenge demonstrated a biological trend of an increase in IgM that preceded an increase in IgG with no discernible trend in IgE response, and no abnormalities in lymphocyte subpopulations."
164,Principle flow cytometry findings related to cyclophosphamide were that the relative percent of B cells decreased dramatically and progressively after compound administration; being statistically decreased in males on day 22 compared with day −5.
165,"The relative percent CD4 and CD8 contribution increased, but the CD4/CD8 ratio remained relatively unchanged as total white blood cells decreased progressively."
166,"The increase in relative percent CD4 (males only) was statistically significant according to a two-sample t-test on days 17, 20 and 22 when compared with the pre-treatment day −5."
167,"There was a relative percent increase in CD5-panT, but absolute numbers were dramatically decreased."
168,"We conclude that an organ system approach to assessment of the immune system which incorporates humoral antibody, enumeration of lymphocyte populations and pathologic evaluation of the lymphoreticular organs assists in the interpretation of an adverse toxicological response."
169,"The ELISA method for measurement of Igs detected the expected levels of IgG, IgM and IgE due to repeated vaccinations and to cyclophosphamide treatment."
170,The flow cytometry method was acceptable for measuring select canine lymphocyte populations and detecting the expected decrease in B cells due to cyclophosphamide treatment.
171,Both methods may be added to a testing battery for assessing immunotoxicity in canine regulatory studies.
172,"Crimean-Congo haemorrhagic fever (CCHF) is a widespread tickborne disease that circulates in wild and domestic animal hosts, and causes severe and often fatal haemorrhagic fever in infected humans."
173,"Due to the lack of treatment options or vaccines, and a high fatality rate, CCHF virus (CCHFV) is considered a high-priority pathogen according to the WHO R&D Blueprint."
174,"Several commercial reverse transcriptase PCR (RT-PCR) and serological diagnostic assays for CCHFV are already available, including febrile agent panels to distinguish CCHFV from other viral haemorrhagic fever agents; however, the majority of international laboratories use inhouse assays."
175,"As CCHFV has numerous amplifying animal hosts, a cross-sectoral ‘One Health’ approach to outbreak prevention is recommended to enhance notifications and enable early warning for genetic and epidemiological shifts in the human, animal and tick populations."
176,"However, a lack of guidance for surveillance in animals, harmonisation of case identification and validated serodiagnostic kits for animal testing hinders efforts to strengthen surveillance systems."
177,"Additionally, as RT-PCR tests tend to be lineage-specific for regional circulating strains, there is a need for pan-lineage sensitive diagnostics."
178,Adaptation of existing tests to point-of-care molecular diagnostic platforms that can be implemented in clinic or field-based settings would be of value given the potential for CCHFV outbreaks in remote or low-resource areas.
179,"Finally, improved access to clinical specimens for validation of diagnostics would help to accelerate development of new tests."
180,These gaps should be addressed by updated target product profiles for CCHFV diagnostics.
181,"Indirect modification of animal genomes by interspecific hybridization, cross-breeding, and selection has produced an enormous spectrum of phenotypic diversity over more than 10,000 yr of animal domestication."
182,"Using these established technologies, the farming community has successfully increased the yield and efficiency of production in most agricultural species while utilizing land resources that are often unsuitable for other agricultural purposes."
183,"Moving forward, animal well-being and agricultural sustainability are moral and economic priorities of consumers and producers alike."
184,"Therefore, these considerations will be included in any strategy designed to meet the challenges produced by global climate change and an expanding world population."
185,Improvements in the efficiency and precision of genetic technologies will enable a timely response to meet the multifaceted food requirements of a rapidly increasing world population.
186,": Despite the crucial role of domestic dogs as reservoirs for zoonosis and some of the most threatening diseases for wild carnivores such as distemper and parvovirosis, little is known about the epidemiological features and the risk factors involved in pathogen exposure of dogs that live in human/wildlife interfaces and actually contacts wildlife."
187,"Through a cross-sectional serological approach and questionnaire survey, we assessed the prevalence along with individual and environment-associated risk factors for four important viral diseases of rural dogs living in households around six Atlantic Forest fragments in southeast Brazil."
188,"RESULTS: Widespread exposure to canine parvovirus (97 %), canine distemper virus (15 %) and canine adenovirus (27 %) was detected, but none for canine coronavirus."
189,Dogs from small private reserves were more exposed to parvovirus and canine distemper virus than those from larger state parks.
190,"Exposure was associated with dog sex and age, lack of health care and the number of people in the households."
191,"Remarkably, factors linked to free-ranging behaviour of dogs were associated with the exposure for all pathogens detected."
192,"CONCLUSIONS: According to identified associations, reducing viral pathogen exposure in dogs will require inhibiting dog’s movements and access to nearby forests and villages and improving veterinary assistance."
193,Promoting dog vaccination and population control through sterilization around protected areas is also necessary.
194,"The study provides support for preventive management actions aimed to protect the health of rural dogs, and consequently of Atlantic Forest’s wild carnivores."
195,This study describes two longitudinal serological surveys of European Bat Lyssavirus type 1 (EBLV-1) antibodies in serotine bat (Eptesicus serotinus) maternity colonies located in the North-East of France.
196,This species is currently considered as the main EBLV-1 reservoir.
197,Multievent capture-recapture models were used to determine the factors influencing bat rabies transmission as this method accounts for imperfect detection and uncertainty in disease states.
198,"Considering the period of study, analyses revealed that survival and recapture probabilities were not affected by the serological status of individuals, confirming the capacity of bats to be exposed to lyssaviruses without dying."
199,"Five bats have been found with EBLV-1 RNA in the saliva at the start of the study, suggesting they were caught during virus excretion period."
200,"Among these bats, one was interestingly recaptured one year later and harbored a seropositive status."
201,"Along the survey, some others bats have been observed to both seroconvert (i.e."
202,move from a negative to a positive serological status) and serorevert (i.e.
203,move from a positive to a negative serological status).
204,Peak of seroprevalence reached 34% and 70% in site A and B respectively.
205,"On one of the 2 sites, global decrease of seroprevalence was observed all along the study period nuanced by oscillation intervals of approximately 2–3 years supporting the oscillation infection dynamics hypothesized during a previous EBLV-1 study in a Myotis myotis colony."
206,Seroprevalence were affected by significantly higher seroprevalence in summer than in spring.
207,The maximum time observed between successive positive serological statuses of a bat demonstrated the potential persistence of neutralizing antibodies for at least 4 years.
208,"At last, EBLV-1 serological status transitions have been shown driven by age category with higher seroreversion frequencies in adults than in juvenile."
209,"Juveniles and female adults seemed indeed acting as distinct drivers of the rabies virus dynamics, hypothesis have been addressed but their exact role in the EBLV-1 transmission still need to be specified."
210, Foodborne illness is a serious public health concern.
211,"There are over 200 known microbial, chemical, and physical agents that are known to cause foodborne illness."
212,"Efforts are made for improved detection, control and prevention of foodborne pathogen in food, and pathogen associated diseases in the host."
213,"Several commonly used approaches to control foodborne pathogens include antibiotics, natural antimicrobials, bacteriophages, bacteriocins, ionizing radiations, and heat."
214,"In addition, probiotics offer a potential intervention strategy for the prevention and control of foodborne infections."
215,"This review focuses on the use of probiotics and bioengineered probiotics to control foodborne pathogens, their antimicrobial actions, and their delivery strategies."
216,"Although probiotics have been demonstrated to be effective in antagonizing foodborne pathogens, challenges exist in the characterization and elucidation of underlying molecular mechanisms of action and in the development of potential delivery strategies that could maintain the viability and functionality of the probiotic in the target organ."
217," Nonhuman primates (NHPs) have been used extensively during the past four decades for research and nonclinical development because they are close to humans in terms of genetics, anatomy, physiology, and immunology."
218,"They have been widely used in the development of infection models, leading to the generation of vaccines and drugs, as well as in the nonclinical pharmacologic and toxicologic assessment of biopharmaceuticals, especially in the fields of immunotherapy and oncology, despite the constant pressure to move to lower species."
219,"In many cases, NHPs are the only species that allows a correct risk assessment for humans."
220,"Nevertheless, limitations inherent to each species have to be considered before an investigation."
221,"This chapter shines some light on the respective interests and limitations of using cynomolgus monkeys, rhesus monkeys, and marmosets in medical research and nonclinical development, with a specific focus on reproduction and immunology."
222," Lassa fever is an acute viral haemorrhagic illness caused by Lassa virus (LASV), which is endemic throughout much of West Africa."
223,The virus primarily circulates in the Mastomys natalensis reservoir and is transmitted to humans through contact with infectious rodents or their secretions; human-to-human transmission is documented as well.
224,"With the exception of Dengue fever, LASV has the highest human impact of any haemorrhagic fever virus."
225,On-going outbreaks in Nigeria have resulted in unprecedented mortality.
226,"Consequently, the World Health Organization (WHO) has listed LASV as a high priority pathogen for the development of treatments and prophylactics."
227,"Currently, there are no licensed vaccines to protect against LASV infection."
228,"Although numerous candidates have demonstrated efficacy in animal models, to date, only a single candidate has advanced to clinical trials."
229,"Lassa fever vaccine development efforts have been hindered by the high cost of biocontainment requirements, the absence of established correlates of protection, and uncertainty regarding the extent to which animal models are predictive of vaccine efficacy in humans."
230,This review briefly discusses the epidemiology and biology of LASV infection and highlights recent progress in vaccine development.
231,"The outbreak of the novel coronavirus disease COVID-19, caused by the SARS-CoV-2 virus has spread rapidly around the globe during the past 3 months."
232,"As the virus infected cases and mortality rate of this disease is increasing exponentially, scientists and researchers all over the world are relentlessly working to understand this new virus along with possible treatment regimens by discovering active therapeutic agents and vaccines."
233,"So, there is an urgent requirement of new and effective medications that can treat the disease caused by SARS-CoV-2."
234,"The research includes the study of drugs that are already available in the market and being used for other diseases to accelerate clinical recovery, in other words repurposing of existing drugs."
235,The vast complexity in drug design and protocols regarding clinical trials often prohibit developing various new drug combinations for this epidemic disease in a limited time.
236,"Recently, remarkable improvements in computational power coupled with advancements in Machine Learning (ML) technology have been utilized to revolutionize the drug development process."
237,"Consequently, a detailed study using ML for the repurposing of therapeutic agents is urgently required."
238,"Here, we report the ML model based on the Naive Bayes algorithm, which has an accuracy of around 73% to predict the drugs that could be used for the treatment of COVID-19."
239,Our study predicts around ten FDA approved commercial drugs that can be used for repurposing.
240,"Among all, we suggest that the antiretroviral drug Saquinavir (DrugBank ID DB01232) would probably be one of the most effective drugs based on the selected criterions."
241,Our study can help clinical scientists in being more selective in identifying and testing the therapeutic agents for COVID 19 treatment.
242,The ML based approach for drug discovery as reported here can be a futuristic smart drug designing strategy for community applications.
243,"Guided by the principle of primum non nocere (first do no harm), we report a cautionary note on the potential fatal toxicity of chloroquine (CQ) or hydroxychloroquine (HCQ) in combination with anti-diabetic drug metformin."
244,"We observed that the combination of CQ or HCQ and metformin, which were used in our studies as potential anti-cancer drugs, killed 30-40% of mice."
245,"While our observations in mice may not translate to toxicity in humans, the reports that CQ or HCQ has anti-COVID-19 activity, the use of CQ resulting in toxicity and at least one death, and the recent Emergency Use Authorization (EUA) for CQ and HCQ by the US Food and Drug Administration (FDA) prompted our report."
246,Here we report the lethality of CQ or HCQ in combination with metformin as a warning of its potential serious clinical toxicity.
247,"We hope that our report will be helpful to stimulate pharmacovigilance and monitoring of adverse drug reactions with the use of CQ or HCQ, particularly in combination with metformin."
248,For the last 50 years we have known of a broad-spectrum agent tilorone dihydrochloride (Tilorone).
