,title,sent,category
16,Synergistic antiviral effect of Galanthus nivalis agglutinin and nelfinavir against feline coronavirus,These results suggest that the combined use of GNA and nelfinavir has therapeutic potential in the prophylaxis and treatment of cats with early-diagnosed FIP.,antihiv
17,Synergistic antiviral effect of Galanthus nivalis agglutinin and nelfinavir against feline coronavirus,"When the amount of virus preinoculated into the test cells was increased to mimic the high viral load present in the target cells of FIP cats, GNA and nelfinavir by themselves lost their inhibitory effect.",antihiv
18,Synergistic antiviral effect of Galanthus nivalis agglutinin and nelfinavir against feline coronavirus,The results showed that Galanthus nivalis agglutinin (GNA) and nelfinavir effectively inhibited FCoV replication.,antihiv
19,Synergistic antiviral effect of Galanthus nivalis agglutinin and nelfinavir against feline coronavirus,"However, when the two agents were added together to FCoV-infected cells, a synergistic antiviral effect defined by complete blockage of viral replication was observed.",antivirus
20,Synergistic antiviral effect of Galanthus nivalis agglutinin and nelfinavir against feline coronavirus,"Currently, no effective vaccine is available for the prevention of this disease.",antivirus
21,Nelfinavir Impairs Glycosylation of Herpes Simplex Virus 1 Envelope Proteins and Blocks Virus Maturation,"Nelfinavir (NFV) is an HIV-1 aspartyl protease inhibitor that has numerous effects on human cells, which impart attractive antitumor properties.",antihiv
22,Nelfinavir Impairs Glycosylation of Herpes Simplex Virus 1 Envelope Proteins and Blocks Virus Maturation,Selection of HSV-1 resistance to NFV was not achieved despite multiple passages under drug pressure.,antivirus
23,Transmissible Gastroenteritis Virus Infection Enhances SGLT1 and GLUT2 Expression to Increase Glucose Uptake,"Moreover, inhibition studies showed that EGFR modulated glucose uptake in control and TGEV infected cells.",antihiv
24,Transmissible Gastroenteritis Virus Infection Enhances SGLT1 and GLUT2 Expression to Increase Glucose Uptake,"In vivo, TGEV primarily targets and infects intestinal epithelial cells, which play an important role in glucose absorption via the apical and basolateral transporters Na(+)-dependent glucose transporter 1 (SGLT1) and facilitative glucose transporter 2 (GLUT2), respectively.",interleukin
25,Cellular senescence limits acute lung injury induced by mechanical ventilation,"In opposite, treatment with lopinavir/ritonavir led to Cdkn1a overexpression and ameliorated cell apoptosis and lung injury.",antihiv
26,Nanoparticulate vacuolar ATPase blocker exhibits potent host-targeted antiviral activity against feline coronavirus,This study highlights the therapeutic potential of diphyllin and its nanoformulation for the treatment of FIP.,antihiv
27,Nanoparticulate vacuolar ATPase blocker exhibits potent host-targeted antiviral activity against feline coronavirus,"The disease remains incurable, and there is no effective vaccine available.",antivirus
28,Expression and functional characterization of the putative protein 8b of the severe acute respiratory syndrome-associated coronavirus,Functional study revealed that overexpression of SARS 8b induced DNA synthesis.,antihiv
29,HIV-protease inhibitors block the replication of both vesicular stomatitis and influenza viruses at an early post-entry replication step,"Here, the potent inhibition induced by saquinavir and nelfinavir on the replication of both vesicular stomatitis and influenza viruses is described.",antihiv
30,Autophagy postpones apoptotic cell death in PRRSV infection through Bad-Beclin1 interaction,Co-immunoprecipitation assays showed the formation of Bad and Beclin1 complex in PRRSV infected cells.,antihiv
31,Novel activities of safe-in-human broad-spectrum antiviral agents,"We found novel activities for dalbavancin against echovirus 1, ezetimibe against human immunodeficiency virus 1 and Zika virus, as well as azacitidine, cyclosporine, minocycline, oritavancin and ritonavir against Rift valley fever virus.",antihiv
32,miR-208-3p promotes hepatocellular carcinoma cell proliferation and invasion through regulating ARID2 expression,In vivo test results revealed that miR-208-3p down-regulation inhibited HCC tumorigenesis in Hep3B cells.,antihiv
33,Post-transcriptional silencing of CCR3 downregulates IL-4 stimulated release of eotaxin-3 (CCL26) and other CCR3 ligands in alveolar type II cells,PCR showed a 60-80% decrease in mRNA and immunoblots showed up to 75-84% reduction of CCR3 in siRNA treated cells.,antihiv
34,CHAC1 Is Differentially Expressed in Normal and Cystic Fibrosis Bronchial Epithelial Cells and Regulates the Inflammatory Response Induced by Pseudomonas aeruginosa,"Finally, we showed that Pa was not able to induce apoptosis in NCI-H292 cells.",antihiv
35,Inhibition of a Putative Dihydropyrimidinase from Pseudomonas aeruginosa PAO1 by Flavonoids and Substrates of Cyclic Amidohydrolases,This study investigated the inhibition of dihydropyrimidinase by flavonoids and substrates of other cyclic amidohydrolases.,antihiv
36,Inhibition of a Putative Dihydropyrimidinase from Pseudomonas aeruginosa PAO1 by Flavonoids and Substrates of Cyclic Amidohydrolases,Some of these compounds are known as inhibitors of allantoinase and dihydroorotase.,antihiv
37,Inhibition of a Putative Dihydropyrimidinase from Pseudomonas aeruginosa PAO1 by Flavonoids and Substrates of Cyclic Amidohydrolases,"The inhibition of dihydropyrimidinase by flavonoids, such as myricetin, quercetin, kaempferol, galangin, dihydromyricetin, and myricitrin, was also investigated.",antihiv
38,Inhibition of a Putative Dihydropyrimidinase from Pseudomonas aeruginosa PAO1 by Flavonoids and Substrates of Cyclic Amidohydrolases,"Allantoin, dihydroorotate, 5-hydantoin acetic acid, acetohydroxamate, orotic acid, and 3-amino-1,2,4-triazole could slightly inhibit dihydropyrimidinase, and the IC(50) values of these compounds were within the millimolar range.",antivirus
39,Kinome-Wide siRNA Screening Identifies Src-Enhanced Resistance of Chemotherapeutic Drugs in Triple-Negative Breast Cancer Cells,Both siRNA against Src and the Src inhibitor dasatinib enhanced the cytotoxic effects of doxorubicin in TNBC cells.,antihiv
40,Kinome-Wide siRNA Screening Identifies Src-Enhanced Resistance of Chemotherapeutic Drugs in Triple-Negative Breast Cancer Cells,Conclusion: Our results showed that Src-STAT3 axis might be involved in chemoresistance of TNBC cells.,antihiv
41,Hsp70 functions as a negative regulator of West Nile virus capsid protein through direct interaction,Deletion analysis of Hsp70 indicated that WNVCp could bind to the substrate binding domain of Hsp70.,antihiv
42,29 Antiviral drugs,"In a randomized controlled trial of indinavir, saquinavir and lopinavir in combination with low-dose ritonavir in 656 patients, median total cholesterol increased by 0.5 mmol/l in the patients with the highest minimum drug plasma concentrations.",antihiv
43,29 Antiviral drugs,"The cidofovir, drug active against cytomegalovirus, has been associated with bronchiolitis obliterans.",antihiv
44,miR-26a Inhibits Feline Herpesvirus 1 Replication by Targeting SOCS5 and Promoting Type I Interferon Signaling,The mechanism study showed that miR-26a directly targeted host SOCS5.,antihiv
45,Structural analysis of inhibition mechanisms of Aurintricarboxylic Acid on SARS-CoV polymerase and other proteins,This inhibition suggested that ATA could be developed as potent anti-viral drug.,antihiv
46,A Systematic Review of therapeutic agents for the treatment of the Middle East Respiratory Syndrome Coronavirus (MERS-CoV),The combination of lopinavir/ritonavir and interferon-beta- 1b showed excellent results in common marmosets and currently is in a randomized control trial.,antihiv
47,A Systematic Review of therapeutic agents for the treatment of the Middle East Respiratory Syndrome Coronavirus (MERS-CoV),The study is based on a combination of lopinavir/ritonavir and interferon-beta- 1b.,antihiv
48,A Systematic Review of therapeutic agents for the treatment of the Middle East Respiratory Syndrome Coronavirus (MERS-CoV),Only one such study is planned for randomization and is pending completion.,immue_suppresive
49,A Systematic Review of therapeutic agents for the treatment of the Middle East Respiratory Syndrome Coronavirus (MERS-CoV),Ribavirin and interferon were the most widely used combination and experience comes from a number of observational studies.,antivirus
50,Chapter 34 Antiviral Drugs,"Protease inhibitors (darunavir, atazanavir, and ritonavir), viral DNA polymerase inhibitors (acyclovir, valacyclovir, valganciclovir, and tenofovir), and an integrase inhibitor (raltegravir) are included in the list of Top 200 Drugs by sales for the 2010s.",antihiv
51,Chapter 34 Antiviral Drugs,There are no effective antiviral drugs for many viral infections.,antivirus
52,"Antimalarial Activity of 4-Metoxychalcones: Docking Studies as Falcipain/Plasmepsin Inhibitors, ADMET and Lipophilic Efficiency Analysis to Identify a Putative Oral Lead Candidate",The binding free energy of compound 1a showed it to be the most optimal chalcone derivative for plasmepsin-2 (−7.3 Kcal/mol).,antihiv
53,C3P3-G1: first generation of a eukaryotic artificial cytoplasmic expression system,C3P3-G1 shows promising results for protein production in Chinese Hamster Ovary (CHO-K1) cells.,antihiv
54,Lycorine induces cell-cycle arrest in the G0/G1 phase in K562 cells via HDAC inhibition,Analysis of HDAC activity showed that lycroine decreases HDAC enzymatic activities in K562 cells in a dose-dependent manner.,antihiv
55,Lycorine induces cell-cycle arrest in the G0/G1 phase in K562 cells via HDAC inhibition,Recent studies have focused on the potential antitumor activity of lycorine.,antihiv
56,Lycorine induces cell-cycle arrest in the G0/G1 phase in K562 cells via HDAC inhibition,"RESULTS: In the present study, we further revealed that lycorine can inhibit the proliferation of K562 cells.",antihiv
57,Lycorine induces cell-cycle arrest in the G0/G1 phase in K562 cells via HDAC inhibition,Inhibition of HDAC activity has been associated with cell-cycle arrest and growth inhibition.,antihiv
58,Inhibition of Influenza H7 Hemagglutinin-Mediated Entry,STD NMR experiments indicate that the aromatic ring of TBHQ makes extensive contact with the H7 HA surface.,antihiv
59,Semliki Forest virus-induced polykaryocyte formation is an ATP-dependent event,Similar results were obtained after ATP depletion induced by 2-deoxyglucose.,antihiv
60,Molecular dynamic simulations analysis of ritronavir and lopinavir as SARS-CoV 3CLpro inhibitors,The results show that flap closing was clearly observed when the inhibitors bind to the active site of SARS-CoV 3CLpro.,antihiv
61,Molecular dynamic simulations analysis of ritronavir and lopinavir as SARS-CoV 3CLpro inhibitors," Since the emergence of the severe acute respiratory syndrome (SARS) to date, neither an effective antiviral drug nor a vaccine against SARS is available.",antivirus
62,"Old drugs as lead compounds for a new disease? Binding analysis of SARS coronavirus main proteinase with HIV, psychotic and parasite drugs","To allow structure-based design of drugs directed at SARS-CoV main proteinase, we predicted its binding pockets and affinities with existing HIV, psychotic and parasite drugs (lopinavir, ritonavir, niclosamide and promazine), which show signs of inhibiting the replication of SARS-CoV.",antihiv
63,Distinct Epitopes on CD13 Mediate Opposite Consequences for Cell Adhesion,"Moreover, the mAbs cause detachment of cells whose aggregation was induced by CD13 crosslinking.",antihiv
64,Distinct Epitopes on CD13 Mediate Opposite Consequences for Cell Adhesion,"CD13 is a membrane glycoprotein with aminopeptidase activity, expressed on several cell types, including myeloid cells (dendritic cells, monocytes, macrophages, neutrophils, etc.).",interleukin
65,Broad-spectrum antivirals for the emerging Middle East respiratory syndrome coronavirus,"We then assessed the anti-MERS-CoV activities of the identified compounds and of interferons, nelfinavir, and lopinavir because of their reported anti-coronavirus activities in terms of cytopathic effect inhibition, viral yield reduction, and plaque reduction assays in Biosafety Level-3 laboratory.",antihiv
66,Broad-spectrum antivirals for the emerging Middle East respiratory syndrome coronavirus,"The serum concentrations achievable at therapeutic doses of mycophenolic acid and interferon-β1b were 60–300 and 3–4 times higher than the concentrations at which in-vitro anti-MERS-CoV activities were demonstrated, whereas that of ribavirin was ∼2 times lower.",antivirus
67,Comprehensive Interactome Analysis Reveals that STT3B Is Required for N-Glycosylation of Lassa Virus Glycoprotein,"NGI-1, a small-molecule inhibitor of OST, also showed a robust inhibitory effect on arenavirus.",antihiv
68,Apoptosis induced by a cytopathic hepatitis A virus is dependent on caspase activation following ribosomal RNA degradation but occurs in the absence of 2′–5′ oligoadenylate synthetase,2′–5′ OAS mRNA was induced by treatment of the cells with interferon-β (IFN-β).,antihiv
69,Apoptosis induced by a cytopathic hepatitis A virus is dependent on caspase activation following ribosomal RNA degradation but occurs in the absence of 2′–5′ oligoadenylate synthetase,IFN-β mRNA was marginally induced following infection.,antivirus
70,Arbidol (Umifenovir): A Broad-Spectrum Antiviral Drug That Inhibits Medically Important Arthropod-Borne Flaviviruses,This compound shows activities against numerous DNA and RNA viruses.,antihiv
71,In silico target fishing and pharmacological profiling for the isoquinoline alkaloids of Macleayacordata (Bo Luo Hui),The possible anticancer effects were mainly contributed by the isoquinoline alkaloids as active components.,antihiv
72,The vacuolar-type ATPase inhibitor archazolid increases tumor cell adhesion to endothelial cells by accumulating extracellular collagen,"Since the inhibition of v-ATPase resulted in anti-tumor and anti-metastatic effects in different tumor models, this enzyme has emerged as promising strategy against cancer.",antihiv
73,TGEV infection up-regulates FcRn expression via activation of NF-κB signaling,"Furthermore, treatment of TGEV-infected IPEC-J2 cells with the NF-κB-specific inhibitor BAY 11-7082 resulted in down-regulation of pFcRn expression.",antihiv
74,TGEV infection up-regulates FcRn expression via activation of NF-κB signaling,Our research shows that IPEC-J2 cells infected with TGEV had up-regulated pFcRn expression.,antihiv
75,Inhibition of Helicobacter pylori sialic acid-specific haemagglutination by human gastrointestinal mucins and milk glycoproteins,"The mucins showed high inhibitory activity for H. pylori, which was significantly decreased after the removal of sialic acids from the mucins.",antihiv
76,High-throughput virtual screening and docking studies of matrix protein vp40 of ebola virus,The RNA binding pocket of VP40 is considered as the drug target site for structure based drug design.,antihiv
77,High-throughput virtual screening and docking studies of matrix protein vp40 of ebola virus,Ten compounds showing good glide score and glide energy as well as interaction with specific amino acid residues were short listed as drug leads.,antihiv
78,"Baicalein, Ethyl Acetate, and Chloroform Extracts of Scutellaria baicalensis Inhibit the Neuraminidase Activity of Pandemic 2009 H1N1 and Seasonal Influenza A Viruses","Molecular simulation revealed baicalein hydrogen bonding with Glu277 as well as hydrophobic and Van der Waals interactions with Ile222, Arg224, Ser246, and Tyr347 in NA1 active sites of NA1.",antihiv
79,"Baicalein, Ethyl Acetate, and Chloroform Extracts of Scutellaria baicalensis Inhibit the Neuraminidase Activity of Pandemic 2009 H1N1 and Seasonal Influenza A Viruses",Baicalein inhibited in vitro replication of influenza A viruses pandemic 2009 H1N1 (IC(50) = 0.018 μM) and seasonal 2007 H1N1 using plaque reduction assays.,antivirus
80,"Baicalein, Ethyl Acetate, and Chloroform Extracts of Scutellaria baicalensis Inhibit the Neuraminidase Activity of Pandemic 2009 H1N1 and Seasonal Influenza A Viruses",Ethyl acetate (EtOAc) and chloroform extracts inhibited in vitro neuraminidase (NA) enzymatic activity and viral replication more than methanol (MeOH) extract.,antivirus
81,"The inhibitory effect of 7,7″-dimethoxyagastisflavone on the metastasis of melanoma cells via the suppression of F-actin polymerization",These data suggested that DMGF presents anti-metastatic activities in B16F10 melanoma cells.,antihiv
82,"The inhibitory effect of 7,7″-dimethoxyagastisflavone on the metastasis of melanoma cells via the suppression of F-actin polymerization","Here, we demonstrated that DMGF can inhibit the metastasis of highly invasive melanoma cancer cells through the down-regulation of F-actin polymerization.",antihiv
83,HIV-1 protease inhibition potential of functionalized polyoxometalates,We have therefore investigated the HIV-1 protease inhibition potential of functionalized Keggin- and Dawson-type POMs with organic side chains.,antihiv
84,Mouse mammary tumor virus uses mouse but not human transferrin receptor 1 to reach a low pH compartment and infect cells,Previous studies demonstrated that MMTV could induce pH 5-dependent fusion-from-with of mouse cells.,antihiv
85,Current Tools for Norovirus Drug Discovery,"Broad-spectrum anti-norovirus molecules, based on the inhibition of 3C-like protease, have been developed.",antihiv
86,Cloning and characterization of giant panda (Ailuropoda melanoleuca) IL-18 binding protein,The results showed that AmIL-18BP was functional and could significantly reduce IFN-γ production in murine splenocytes.,antihiv
87,Glucose-regulated protein 78 demonstrates antiviral effects but is more suitable for hepatocellular carcinoma prevention in hepatitis B,"METHODS: GRP78 regulations in HepG2.2.15 cells were conducted by transfections of expressing vector and small interfering RNA, respectively.",antihiv
88,Protease inhibitors and their peptidomimetic derivatives as potential drugs,Exploration of natural inhibitors and synthesis of peptidomimetic molecules has provided many promising compounds performing successfully in animal studies.,antihiv
89,Dual roles of calpain in facilitating Coxsackievirus B3 replication and prompting inflammation in acute myocarditis,Calpain inhibition in CVB3-induced myocarditis showed significant treatment effect.,antihiv
90,Dual roles of calpain in facilitating Coxsackievirus B3 replication and prompting inflammation in acute myocarditis,CVB3 replication was observed in vivo and in vitro via the capsid protein VP1 detection or virus titration.,antivirus
91,Houttuynia cordata polysaccharide alleviated intestinal injury and modulated intestinal microbiota in H1N1 virus infected mice,This study proved the high-value application of HCP.,antihiv
92,Houttuynia cordata polysaccharide alleviated intestinal injury and modulated intestinal microbiota in H1N1 virus infected mice,"The inhibition of inflammation was associated with the reduced level of Toll-like receptors and interleukin-1β in intestine, as well as the increased production of interleukin-10.",interleukin
93,Triggering unfolded protein response by 2-Deoxy-d-glucose inhibits porcine epidemic diarrhea virus propagation,The results suggested that PEDV infection induced UPR in Vero cells.,antihiv
94,Triggering unfolded protein response by 2-Deoxy-d-glucose inhibits porcine epidemic diarrhea virus propagation, The unfolded protein response (UPR) is cyto-protective machinery elicited towards an influx of large amount of protein synthesis in the endoplasmic reticulum (ER).,interleukin
95,Transmissible Gastroenteritis Virus (TGEV) Infection Alters the Expression of Cellular MicroRNA Species That Affect Transcription of TGEV Gene 7,The results showed TGEV infection caused the change of miRNAs profile.,antihiv
96,Anti-influenza virus activity of the ethanolic extract from Peperomia sui,This study was carried out to evaluate the anti-influenza virus activity and the potential virucidal effect of the ethanolic extract of Peperomia sui (PSE).,antihiv
97,Structural similarity between HIV-1 gp41 and SARS-CoV S2 proteins suggests an analogous membrane fusion mechanism,Further ligand-binding analysis showed that two inhibitors GGL and D-peptide from HIV-1 gp41 may serve as inhibitors for SARS-CoV entry.,antihiv
98,Structural similarity between HIV-1 gp41 and SARS-CoV S2 proteins suggests an analogous membrane fusion mechanism,"In this study, we modeled the 3D structure of S2 subunit and compared this model with the core structure of gp41 from HIV-1.",antihiv
99,In silico modification of oseltamivir as neuraminidase inhibitor of influenza A virus subtype H1N1,The results showed that AD3BF2D ligand can be used as a good candidate for neuraminidase inhibitor to cope with influenza A virus subtype H1N1.,antihiv
100,Natural product juglone targets three key enzymes from Helicobacter pylori: inhibition assay with crystal structure characterization,"Moreover, the crystal structure of the HpFabZ/juglone complex further revealed the essential binding pattern of juglone against HpFabZ at the atomic level.",antihiv
101,Natural product juglone targets three key enzymes from Helicobacter pylori: inhibition assay with crystal structure characterization,"CONCLUSION: HpCGS, HpFabD, and HpFabZ are potential targets of juglone.",antihiv
102,Natural product juglone targets three key enzymes from Helicobacter pylori: inhibition assay with crystal structure characterization,"The juglone/FabZ complex crystal was obtained by soaking juglone into the HpFabZ crystal, and the X-ray crystal structure of the complex was analyzed by molecular replacement approach.",antihiv
103,Evaluation of a non-prime site substituent and warheads combined with a decahydroisoquinolin scaffold as a SARS 3CL protease inhibitor,The synthesized decahydroisoquinolin inhibitors showed about 2.4 times potent inhibitory activities for SARS 3CLpro when combined with a non-prime site substituent.,antihiv
104,Fused-ring structure of decahydroisoquinolin as a novel scaffold for SARS 3CL protease inhibitors,"All decahydroisoquinolin inhibitors synthesized showed moderate but clear inhibitory activities for SARS 3CLpro, which confirmed the fused ring structure of the decahydroisoquinolin functions as a novel scaffold for SARS 3CLpro inhibitor.",antihiv
105,Lytic HSV-1 infection induces the multifunctional transcription factor Early Growth Response-1 (EGR-1) in rabbit corneal cells,Additional studies showed that inhibitors of NFкB and dominant-negative CREB repressed the Egr-1 induction by HSV-1 infection.,antihiv
106,Role of S-Palmitoylation on IFITM5 for the Interaction with FKBP11 in Osteoblast Cells,These results indicate that the S-palmitoylation on IFITM5 promotes the interaction with FKBP11.,antihiv
107,Q&A: The novel coronavirus outbreak causing COVID-19,"The virus responsible for COVID-19, SARS-CoV-2, is in the species SARS-like corona viruses.",antihiv
108,Intraviral interactome of Chikungunya virus reveals the homo-oligomerization and palmitoylation of structural protein TF,Disulfide bonds promoted the oligomerization of CHIKV TF protein.,antihiv
109,Intraviral interactome of Chikungunya virus reveals the homo-oligomerization and palmitoylation of structural protein TF,Construction of intraviral interactome of CHIKV provides the basis for further studying the function of CHIKV proteins.,antihiv
110,"Antiproliferative and apoptotic activity of glycyrrhizinic acid in MCF-7 human breast cancer cells and evaluation of its effect on cell cycle, cell migration and m-TOR/PI3K/Akt signalling pathway",The growth inhibitory effects of glycyrrhizinic acid exhibited concentration-dependent as well as time-dependent growth inhibitory trend.,antihiv
111,"Antiproliferative and apoptotic activity of glycyrrhizinic acid in MCF-7 human breast cancer cells and evaluation of its effect on cell cycle, cell migration and m-TOR/PI3K/Akt signalling pathway",Therefore the main purpose of the present study was to investigate the anticancer effects of glycyrrhizinic acid in MCF-7 human breast cancer cells.,antihiv
112,Blockage of P2X7 attenuates acute lung injury in mice by inhibiting NLRP3 inflammasome,The present study used lipopolysaccharide (LPS)-induced mouse model to investigate the therapeutic potential of P2X7 blockage in ALI.,antihiv
113,Blockage of P2X7 attenuates acute lung injury in mice by inhibiting NLRP3 inflammasome,"P2X7 antagonist A438079 suppressed NLRP3/ASC/caspase 1 activation, production of IL-1β, IL-17A and IFN-γ and neutrophil infiltration but not the production of IL-10, resulting in a significant amelioration of lung injury.",interleukin
114,Inhibition of SERPINe1 reduces rhabdoviral infections in zebrafish,Practical applications might be developed from these studies since preliminary evidences showed that tannic acid could be used to reduce VHSV-caused mortalities.,antihiv
115,Inhibition of Heat-Shock Protein 90 Reduces Ebola Virus Replication,Our results showed that inhibition of Hsp90 significantly reduced the replication of EBOV.,antihiv
116,Inhibition of Heat-Shock Protein 90 Reduces Ebola Virus Replication,"We tested the effect of several different Hsp90 inhibitors including geldanamycin, radicicol, and 17-allylamino-17-demethoxygeldanamycin (17-AAG; a geldanamycin analog) on the replication of Zaire EBOV.",antivirus
117,Inhibition of Heat-Shock Protein 90 Reduces Ebola Virus Replication,These compounds blocked EBOV replication with an EC(50) in the low nanomolar range and showed significant potency in blocking replication in primary human monocytes.,antivirus
118,Design and synthesis of a series of serine derivatives as small molecule inhibitors of the SARS coronavirus 3CL protease, Synthesis of serine derivatives having the essential functional groups for the inhibitor of SARS 3CL protease and evaluation of their inhibitory activities using SARS 3CL R188I mutant protease are described.,antihiv
119,The Screening Research of NF-κB Inhibitors from Moutan Cortex Based on Bioactivity-Integrated UPLC-Q/TOF-MS,"Among them, the NF-κB inhibitor activity of galloylpaeoniflorin, benzoyloxypaeoniflorin, and mudanpioside C is first reported here.",antihiv
120,QM/QM studies for Michael reaction in coronavirus main protease (3CLPro),We suggest 3CLPro inhibitors need small polar groups to decrease the energy barrier for alkylation reaction.,antihiv
121,QM/QM studies for Michael reaction in coronavirus main protease (3CLPro),The Michael reaction studies show an exothermic process with −4.5kcal/mol.,antihiv
122,The interaction between severe acute respiratory syndrome coronavirus 3C-like proteinase and a dimeric inhibitor by capillary electrophoresis,"The results showed that SARS 3CL proteinase was able to complex with the octapeptide competitively, with binding constants of 2.44×104 M−1 at 20°C and 2.11×104 M−1 at 37°C.",antihiv
123,"KINETIC CHARACTERIZATION AND MOLECULAR DOCKING OF A NOVEL, POTENT, AND SELECTIVE SLOW-BINDING INHIBITOR OF HUMAN CATHEPSIN L",These studies revealed critical hydrogen bonding patterns of the thiocarbazate with key active site residues in papain.,antihiv
124,"KINETIC CHARACTERIZATION AND MOLECULAR DOCKING OF A NOVEL, POTENT, AND SELECTIVE SLOW-BINDING INHIBITOR OF HUMAN CATHEPSIN L","After a 4 hr preincubation with cathepsin L, this compound became even more potent, demonstrating an IC(50) of 1.0 nM.",antivirus
125,"KINETIC CHARACTERIZATION AND MOLECULAR DOCKING OF A NOVEL, POTENT, AND SELECTIVE SLOW-BINDING INHIBITOR OF HUMAN CATHEPSIN L",The thiocarbazate was determined to be a slow-binding and slowly reversible competitive inhibitor.,antivirus
126,Autophagy sustains the replication of porcine reproductive and respiratory virus in host cells,The results showed functional autolysosomes can be formed after PRRSV infection and the autophagosome–lysosome-fusion inhibitor decreases the virus titers.,antihiv
127,Structural basis of sialidase in complex with geranylated flavonoids as potent natural inhibitors,"Here, natural polyphenolic geranylated flavonoids which show significant inhibitory effects against Cp-NanI, a sialidase from Clostridium perfringens, are reported.",antihiv
128,Structural basis of sialidase in complex with geranylated flavonoids as potent natural inhibitors,"The crystal structure of the Cp-NanI catalytic domain in complex with the best inhibitor, diplacone, is also presented.",antihiv
129,Glycyrrhizic acid attenuates growth of Leishmania donovani by depleting ergosterol levels,This explained the specific binding of GA to LdHMGR enzyme.,antihiv
130,Involvement of lipid microdomains in human endothelial cells infected by Streptococcus agalactiae type III belonging to the hypervirulent ST-17,Our results suggest the involvement of flotillin-1 and caveolin-1 during the invasion of S. agalactiae strain in HUVEC cells.,antihiv
131,"Structure-based design, synthesis, and biological evaluation of peptidomimetic SARS-CoV 3CLpro inhibitors",Structural analysis of the inhibitor-bound X-ray structure revealed high binding affinity toward the enzyme.,antihiv
