,pid,newpid,category,sent,newscore,answer,keyword,question
19,ksbha7kz,1010,drug,"He was receiving treatment with ganciclovir, lopinavir/ritonavir, moxifloxacin, dexamethasone, human immunoglobulin and mecobalamin.",0.6499975387467067,he was receiving treatment,lopinavir/ritonavir,Can lopinavir/ritonavir treat COVID-19
20,cszqykpu,681,drug,"The result showed that atazanavir, an antiretroviral medication used to treat and prevent the human immunodeficiency virus (HIV), is the best chemical compound, showing a inhibitory potency with Kd of 94.94 nM against the 2019-nCoV 3C-like proteinase, followed by efavirenz (199.17 nM), ritonavir (204.05 nM), and dolutegravir (336.91 nM).",0.6499131558184817,2019-ncov 3c-like proteinase,TAF,Can TAF treat COVID-19
21,zb434ve3,758,drug,"The result showed that atazanavir, an antiretroviral medication used to treat and prevent the human immunodeficiency virus (HIV), is the best chemical compound, showing an inhibitory potency with Kd of 94.94 nM against the SARS-CoV-2 3C-like proteinase, followed by remdesivir (113.13 nM), efavirenz (199.17 nM), ritonavir (204.05 nM), and dolutegravir (336.91 nM).",0.6498264574249383,sars-cov-2 3c-like proteinase,APN01,Can APN01 treat COVID-19
22,vxqdfiel,562,drug,"We identified 24 clinical trials, involving more than 20 medicines, such as human immunoglobulin, interferons, chloroquine, hydroxychloroquine, arbidol, remdesivir, favipiravir, lopinavir, ritonavir, oseltamivir, methylprednisolone, bevacizumab, and traditional Chinese medicines (TCM).",0.6498198374005519,traditional chinese medicines,Traditional Chinese Medicine,Can Traditional Chinese Medicine treat COVID-19
23,dpcpg5c1,573,drug,"Based on our molecular insight that the hepatitis C virus and the coronavirus use a similar viral genome replication mechanism, we reasoned that the FDA-approved drug EPCLUSA (Sofosbuvir/Velpatasvir) for the treatment of hepatitis C will also inhibit the above coronaviruses, including 2019-nCoV.",0.6496956047640164,will also inhibit the above coronaviruses,Sofosbuvir,Can Sofosbuvir treat COVID-19
24,nn15iyqd,1074,drug,Baricitinib has both antiviral and anti-inflammatory properties.,0.6495665382749712,baricitinib has both antiviral and anti-inflammatory properties,efavirenz,Can efavirenz treat COVID-19
25,9jnixy2b,845,drug," As the coronavirus disease 19 (COVID-19) global pandemic rages across the globe, the race to prevent and treat this deadly disease has led to the “off-label” repurposing of drugs such as hydroxychloroquine and lopinavir/ritonavir, which has the potential for unwanted QT-interval prolongation and a risk of drug-induced sudden cardiac death.",0.6494916915252159,has the potential for unwanted qt-interval prolongation and a risk of drug-induced sudden cardiac death,lopinavir,Can lopinavir treat COVID-19
26,ptnmtvzj,1001,drug,"Of the 40 studies reporting mortality rates in hospitalized SARS or MERS patients, one cohort study (MERS) and one retrospective study (SARS) found a statistically significant increase in the mortality rate for patients treated with ribavirin.",0.6494584906980536,patients treated with ribavirin .,Vitamin D,Can Vitamin D treat COVID-19
27,9q3lmsd3,829,drug,Chloroquine and hydroxychloroquine as available weapons to fight COVID-19,0.6493216952887003,chloroquine and hydroxychloroquine as available weapons to fight covid-19,Chloroquine phosphate,Can Chloroquine phosphate treat COVID-19
28,679qfp2s,231,drug,"Prezcobix/Rezolsta is a fixed-dose combination of 800 mg of the HIV protease inhibitor darunavir (DRV) and 150 mg cobicistat, a CYP3A4 inhibitor, which is indicated in combination with other antiretroviral agents for the treatment of HIV infection.",0.6492892627770401,hiv infection,darunavir,Can darunavir treat COVID-19
29,dpcpg5c1,574,drug,"To develop broad spectrum anti-viral agents, we further describe a novel strategy to design and synthesize viral polymerase inhibitors, by combining the ProTide Prodrug approach used in the development of Sofosbuvir with the use of 3’-blocking groups that we have previously built into nucleotide analogues that function as polymerase terminators.",0.6483313278825575,anti-viral,efavirenz,Can efavirenz treat COVID-19
30,ptnmtvzj,1004,drug,"However, it is clear that the existing body of evidence is weighted heavily towards ribavirin (41/54 studies), which has not shown conclusive evidence of effectiveness and may cause harmful adverse events so future investigations may consider focusing on other candidates for antiviral therapy.",0.6480155618664479,has not shown conclusive evidence of effectiveness and may cause harmful adverse events,ribavirin,Can ribavirin treat COVID-19
31,2cuts3d9,816,drug,Chloroquine for the 2019 novel coronavirus SARS-CoV-2,0.6476250091860768,chloroquine,choloroquine/hydrocholoroquine,Can choloroquine/hydrocholoroquine treat COVID-19
32,7e8zlt3t,483,drug,"We report the antiviral effect of remdesivir, lopinavir, homorringtonine, and emetine against SARS-CoV-2 virus in Vero E6 cells with the estimated 50% effective concentration at 23.15 μM, 26.63 μM, 2.55 μM and 0.46 μM, respectively.",0.6475599748539671,"antiviral effect of remdesivir , lopinavir , homorringtonine , and emetine against sars-cov-2 virus",lopinavir,Can lopinavir treat COVID-19
33,gy35gsl2,1055,drug,Resulting compounds were cross-checked for listing in the Traditional Chinese Medicine Systems Pharmacology Database.,0.6465446228859543,traditional chinese medicine systems pharmacology database,Losartan,Can Losartan treat COVID-19
34,vbgf50os,626,drug,"In the simulations, ritonavir can bind to CEP_C30 most suitably, and induce significant conformation changes of CEP_C30; lopinavir can also bind to CEP_C30 suitably, and induce significant conformation changes of CEP_C30; darunavir can bind to PLVP suitably with slight conformation changes of PLVP.",0.6458167832023631,darunavir can bind to plvp suitably with slight conformation changes of plvp,darunavir,Can darunavir treat COVID-19
35,6ghu34m1,571,drug,"Tocilizumab, an anti-IL6 receptor antibody, to treat Covid-19-related respiratory failure: a case report",0.6436804774353785,to treat covid-19-related respiratory failure,Tocilizumab,Can Tocilizumab treat COVID-19
36,z0qzgu5m,608,drug,"CEP, selamectin and mefloquine hydrochloride are potential drugs for treating 2019-nCoV infection.",0.15654034789553967,potential drugs for treating 2019-ncov infection,Chloroquine,Can Chloroquine treat COVID-19
37,za3qypgg,634,drug,This review focuses on the effects of these drugs on host immunity against COVID-19.,0.1559957976343705,effects of these drugs on host immunity,Naproxen,Can Naproxen treat COVID-19
38,qdt90c22,539,drug,Direct-acting antivirals are effective tools to control viral infections.,0.15588789742765516,direct-acting antivirals are effective tools to control viral infections,efavirenz,Can efavirenz treat COVID-19
39,679qfp2s,236,drug,"Overall, the data do not support the use of DRV for treatment of COVID-19.",0.15562718719083568,do not support the use of drv for treatment of covid-19,velpatasvir,Can velpatasvir treat COVID-19
40,da61tfr9,827,drug,"Preliminary trials of chloroquine repurposing in the treatment of COVID-19 in China have been encouraging, leading to several new trials.",0.15562221390147546,chloroquine repurposing,Remdesivir,Can Remdesivir treat COVID-19
41,d7n1zy0b,754,drug,"Besides, the study presents some drugs that previously proved its efficiency against the newly emerged viral infection.",0.15540540146303755,drugs that previously proved its efficiency against the newly emerged viral infection,Ruxolitinib,Can Ruxolitinib treat COVID-19
42,b518n9dx,721,drug,"Further, we analyzed the pharmacological actions and previous trials of remdesivir to identify the feasibility of conducting experiments on COVID-19.",0.15538432439725694,feasibility of conducting experiments on covid-19,APN01,Can APN01 treat COVID-19
43,qdt90c22,541,drug,Previous reports showed that HIV-1 protease inhibitors could block SARS-CoV main protease.,0.15534577985404813,previous reports showed that hiv-1 protease inhibitors could block sars-cov main protease,TAF,Can TAF treat COVID-19
44,za3qypgg,642,drug,Low-dose prednisolone and tacrolimus may have beneficial impacts on COVID-19.,0.15529766673430845,may have beneficial impacts,Tetrandrine,Can Tetrandrine treat COVID-19
45,7e8zlt3t,484,drug,Ribavirin or favipiravir that are currently evaluated under clinical trials showed no inhibition at 100 μM.,0.15528252122997424,showed no inhibition,ribavirin,Can ribavirin treat COVID-19
46,a5udnv5f,344,drug,Current efforts are focusing on development of specific antiviral drugs.,0.1552792599635908,antiviral drugs,Traditional Chinese Medicine,Can Traditional Chinese Medicine treat COVID-19
47,aeuy92bx,492,drug,The fusion proteins were then characterized.,0.1549231314862769,fusion proteins,APN01,Can APN01 treat COVID-19
48,1qniriu0,590,drug,The potential effectiveness of treating 2019-nCoV by using some existing HIV drugs is also analyzed.,0.15488876918732686,potential effectiveness of treating 2019-ncov by using some existing hiv drugs,Naproxen,Can Naproxen treat COVID-19
49,1mjaycee,176,drug,"However, few broad-spectrum antiviral drugs have been evaluated against COVID-19 in clinical trials, resulted in clinical recovery.",0.15473406670869538,few broad-spectrum antiviral drugs have been evaluated against covid-19 in clinical trials,Naproxen,Can Naproxen treat COVID-19
50,da61tfr9,828,drug,Here we discuss the possible mechanisms of chloroquine interference with the SARS-CoV-2 replication cycle.,0.15469114017012828,chloroquine interference with the sars-cov-2 replication cycle,Chloroquine,Can Chloroquine treat COVID-19
51,2hgwa6pq,688,drug,This motif is absent from other coronaviruses.,0.15466950134188906,coronaviruses,halidomide,Can halidomide treat COVID-19
52,5ekdfers,438,drug,"Unfortunately, there is no specific antiviral agent or vaccine available to treat SARS-CoV-2 infections.",0.1546637483471202,no specific antiviral agent or vaccine available to treat sars-cov-2 infections,velpatasvir,Can velpatasvir treat COVID-19
53,z0qzgu5m,598,drug,The antiviral activities and antiviral mechanisms of potential drugs were further investigated.,0.15465921712095687,antiviral,Vitamin D,Can Vitamin D treat COVID-19
54,ju35nyir,436,drug,"In this brief review, we summarize the broad antiviral activity of niclosamide and highlight its potential clinical use in the treatment of COVID-19.",0.15464841301318472,potential clinical use in the treatment of covid-19,Tetrandrine,Can Tetrandrine treat COVID-19
55,6g34qwer,1117,drug,Antibody against CD147 could block the infection of SARS-CoV-2.,0.1545206582011863,could block the infection of sars-cov-2,BCG Vaccine,Can BCG Vaccine treat COVID-19
56,7jkzbmsf,784,drug,Drugs are the main treatment of COVID-19 patients.,0.15445989453221634,drugs,Losartan,Can Losartan treat COVID-19
57,w84qtud6,899,drug,Our data suggest silibinin a repurposing candidate drug may have multitarget activity against SARS-CoV-2.,0.15445072667735935,may have multitarget activity against sars-cov-2,Ruxolitinib,Can Ruxolitinib treat COVID-19
58,qebbkr6d,612,drug,The retrospective study using the past SARS-CoV and MERS-CoV data demonstrated that our machine learning based method can successfully predict effective drug candidates against a specific coronavirus.,0.15440044273705628,coronavirus,Remdesivir,Can Remdesivir treat COVID-19
59,9595vm0k,319,drug,"A new coronavirus, SARS-CoV-2, has recently emerged to cause a human pandemic.",0.15438346526233646,sars-cov-2,RhACE2,Can RhACE2 treat COVID-19
60,uifnjio5,472,drug,The titers of NAbs were variable in different patients.,0.15431093699257806,nabs,Losartan,Can Losartan treat COVID-19
61,b31ctbat,653,drug,There are currently no registered therapies for treating coronavirus infections.,0.15430790736670294,there are currently no registered therapies for treating coronavirus infections,Traditional Chinese Medicine,Can Traditional Chinese Medicine treat COVID-19
62,fmumym1x,164,drug,The discovery of epitopes is helpful to the development of SARS-CoV-2 vaccine.,0.15429130515520095,sars-cov-2 vaccine,TAF,Can TAF treat COVID-19
63,8eh90ber,536,drug, COVID-19 emerges as a pandemic disease with high mortality.,0.1542434087346849,covid-19 emerges as a pandemic disease with high mortality,Losartan,Can Losartan treat COVID-19
64,nn15iyqd,1069,drug,"A cytokine storm has been shown in patients who develop fatal complications, as observed in past coronavirus infections.",0.15422073997328226,a cytokine storm has been shown in patients who develop fatal complications,Losartan,Can Losartan treat COVID-19
65,z0qzgu5m,596,drug,The pangolin coronavirus model was used to identify drug candidates for treating 2019-nCoV infection.,0.15419816593088634,the pangolin coronavirus model was used to identify drug candidates for treating 2019-ncov infection,Huaier Granule,Can Huaier Granule treat COVID-19
66,ztcyvsoi,1184,drug,Many people are asymptomatic.,0.15419650254067696,many people are asymptomatic,Bevacizumab,Can Bevacizumab treat COVID-19
67,566pbuic,925,drug,This study aims to investigate the factors affecting the progression of pneumonia in COVID-19 patients.,0.15412552393646795,this study aims to investigate the factors affecting the progression of pneumonia,Losartan,Can Losartan treat COVID-19
68,m0hivi0u,884,drug,"Hower, no approved drugs have been found to effectively inhibit the virus.",0.15407431813744074,no approved drugs have been found to effectively inhibit the virus,ritonavir,Can ritonavir treat COVID-19
69,yf5g53a9,821,drug,"This activity is conserved against SARS-Cov-2, thus placing teicoplanin as a potential treatment for patients with this virus.",0.15402797912595795,teicoplanin,Remdesivir,Can Remdesivir treat COVID-19
70,hi38itc9,1102,drug,Real time RT-PCR was used to detect the new coronavirus in respiratory samples.,0.15398824316709112,real time rt-pcr was used to detect the new coronavirus in respiratory samples,APN01,Can APN01 treat COVID-19
71,ymc93p0w,861,drug,"These observations suggest that the effect of ciclesonide was specific to coronavirus, suggesting this is a candidate drug for treatment of patients suffering MERS or COVID-19.",0.1539876231837563,"ciclesonide was specific to coronavirus , suggesting this is a candidate drug for treatment of patients suffering mers or covid-19",Tetrandrine,Can Tetrandrine treat COVID-19
72,qdt90c22,546,drug,"Then, these structures could serve as leading compounds to develop a series of derivatives optimizing their activity against SARS-CoV-2 and other coronaviruses.",0.15397843615216367,sars-cov-2,Recombinant human angiotensin- converting enzyme 2,Can Recombinant human angiotensin- converting enzyme 2 treat COVID-19
73,b4joa5tx,577,drug,Specific antiviral drug are urgently needed to treat COVID-19 infections.,0.15396328594526415,specific antiviral drug are urgently needed,TAF,Can TAF treat COVID-19
74,ptnmtvzj,998,drug,No eligible studies examining monoclonal antibodies for COVID-19 were identified.,0.15392384821642735,no eligible studies examining monoclonal antibodies for covid-19 were identified,Naproxen,Can Naproxen treat COVID-19
75,qebbkr6d,614,drug,Our in vitro assays revealed that CVL218 can exhibit effective inhibitory activity against SARS-CoV-2 replication without obvious cytopathic effect.,0.15387815835582874,can exhibit effective inhibitory activity against sars-cov-2 replication without obvious cytopathic effect,SARS 3CL protease inhibitors,Can SARS 3CL protease inhibitors treat COVID-19
76,5xyt8d5u,909,drug,We aim to investigate the clinical characteristic and allergy status of patients infected by SARS-CoV-2.,0.1538709650982013,patients infected by sars-cov-2,Losartan,Can Losartan treat COVID-19
77,sjyrr2bn,838,drug,"We suggest traditional Indian medicinal plants as possible novel therapeutic approaches, exclusively targeting SARS-CoV-2 and its pathways.",0.15386820331597206,exclusively targeting sars-cov-2 and its pathways,Losartan,Can Losartan treat COVID-19
78,da61tfr9,826,drug,"In the absence of a known efficient therapy and because of the situation of a public-health emergency, it made sense to investigate the possible effect of chloroquine/hydroxychloroquine against SARS-CoV-2 since this molecule was previously described as a potent inhibitor of most coronaviruses, including SARS-CoV-1.",0.15386136285621593,"in the absence of a known efficient therapy and because of the situation of a public-health emergency , it made sense to investigate the possible effect of chloroquine / hydroxychloroquine against sars-cov-2",choloroquine/hydrocholoroquine,Can choloroquine/hydrocholoroquine treat COVID-19
79,gy35gsl2,1060,drug,"Finally, network pharmacology analysis was used to predict the general in vivo effects of each selected herb.",0.1538366787482989,network pharmacology analysis was used to predict the general in vivo effects of each selected herb,TAF,Can TAF treat COVID-19
80,m0q7rm6z,808,drug,"Here, we report the ML model based on the Naive Bayes algorithm, which has an accuracy of around 73% to predict the drugs that could be used for the treatment of COVID-19.",0.15382189107308458,could be used for the treatment of covid-19,Huaier Granule,Can Huaier Granule treat COVID-19
81,qopcs6jy,1085,drug,We also selected 7 types of structural proteins.,0.15381677321809958,structural proteins,Remdesivir,Can Remdesivir treat COVID-19
82,vxqdfiel,558,drug,"More than 80 clinical trials have been launched to test coronavirus treatment, including some drug repurposing or repositioning for COVID-19.",0.15380166341240187,drug repurposing or repositioning for covid-19,darunavir,Can darunavir treat COVID-19
83,679qfp2s,232,drug,There are currently no definitive data on the safety and efficacy of DRV/cobicistat for treatment of COVID-19.,0.15379450722583174,there are currently no definitive data on the safety and efficacy,velpatasvir,Can velpatasvir treat COVID-19
84,b518n9dx,716,drug,Relevant reports have pointed out the novel coronavirus has 80% homology with SARS.,0.15378727949988202,coronavirus,Remdesivir,Can Remdesivir treat COVID-19
85,stnjl8f8,814,drug,"At present, there is no specific antiviral drug targeting 2019-nCoV.",0.15371725862698174,no specific antiviral drug,Naproxen,Can Naproxen treat COVID-19
86,zb434ve3,756,drug,"Due to the lack of effective treatment options for SARS-CoV-2, various strategies are being tested in China, including drug repurposing.",0.15371040985229048,lack of effective treatment options for sars-cov-2,TAF,Can TAF treat COVID-19
87,1mmqfp7g,665,drug,Recent studies revealed that the genome sequence of SARS-CoV-2 is very similar to that of SARS-CoV.,0.15370769604432954,can peginterferon lambda-1a treat covid-19,Peginterferon Lambda-1a,Can Peginterferon Lambda-1a treat COVID-19
88,c4u0gxp5,275,drug,"Currently, there is no definite treatment for COVID-19 although some drugs are under investigation.",0.15369552091402014,there is no definite treatment,Losartan,Can Losartan treat COVID-19
89,8gncbgot,62,drug,A number of novel compounds as well as therapeutics licensed for other conditions appear to have in vitro efficacy against the 2019-nCoV.,0.1536737724427339,a number of novel compounds as well as therapeutics licensed for other conditions appear to have in vitro efficacy against the 2019-ncov,TAF,Can TAF treat COVID-19
90,nn15iyqd,1075,drug,Checkpoints inhibitors such as anti-CD200 and anti-PD1 could have a role in the treatment of CoViD-19.,0.15366271109147095,could have a role in the treatment of covid-19,SARS 3CL protease inhibitors,Can SARS 3CL protease inhibitors treat COVID-19
91,a5udnv5f,347,drug,"Further, we describe the benefits, challenges and considerations of NAbs against SARS-CoV-2.",0.15365174670278905,"benefits , challenges and considerations of nabs against sars-cov-2",Naproxen,Can Naproxen treat COVID-19
92,b1iyr42n,145,drug,Addition of a novel glycosylation sites were observed in 2019-nCoV.,0.15364205395574493,ncov,TAF,Can TAF treat COVID-19
93,2uvibr2j,29,drug,Linkers and adjuvant were added to enhance the immunogenicity response of the MEV.,0.1536023400412806,immunogenicity,Aspirin,Can Aspirin treat COVID-19
94,5ekdfers,439,drug,"Also, information regarding the immunological characteristics in COVID-19 patients remains limited.",0.15360180418849104,information regarding the immunological characteristics in covid-19 patients remains limited,Naproxen,Can Naproxen treat COVID-19
95,yqiggzk9,981,drug,There is no specific drug treatment for the disease.,0.15358313686045802,there is no specific drug treatment,Naproxen,Can Naproxen treat COVID-19
96,a5udnv5f,345,drug,Therapeutic neutralizing antibodies (NAbs) against SARS-CoV-2 will be greatly important therapeutic agents for the treatment of coronavirus disease 2019 (COVID-19).,0.1535632473464536,will be greatly important therapeutic agents for the treatment of coronavirus disease 2019,APN01,Can APN01 treat COVID-19
97,gy35gsl2,1057,drug,"Next, a docking analysis was used to test whether the compound had the potential for direct 2019-nCoV interaction.",0.15356162807308382,potential for direct 2019-ncov interaction,Alovudine,Can Alovudine treat COVID-19
98,1yka7ej9,839,drug,"In this work, we use a within-host viral dynamic model to describe the SARS-CoV-2 kinetics in host.",0.15355518819680306,use a within-host viral dynamic model to describe the sars-cov-2,efavirenz,Can efavirenz treat COVID-19
99,p1w3p80y,879,drug,We here share the therapeutic experiences of NCP treatment with literature review.,0.15354399647802158,ncp treatment,Losartan,Can Losartan treat COVID-19
100,13akn7dm,706,drug,The pandemic of COVID-19 has been taking lives worldwide.,0.15350688953794156,the pandemic of covid-19 has been taking lives worldwide,Bevacizumab,Can Bevacizumab treat COVID-19
101,8gncbgot,63,drug,"Some are being tested in clinical trials against MERS-CoV and SARS-CoV, while others have been listed for clinical trials against 2019-nCoV.",0.15349987282749572,2019-ncov,Nitric Oxide Gas,Can Nitric Oxide Gas treat COVID-19
102,pidar1gz,131,drug,The drug-repurposing effort documented herein focuses primarily on agents known to be effective against other RNA viruses including SARS-CoV and MERS-CoV.,0.15348766812986234,sars-cov and mers-cov .,TAF,Can TAF treat COVID-19
103,aeuy92bx,494,drug,"Moreover, fusion proteins potently neutralized SARS-CoV and 2019-nCoV in vitro.",0.15344876109344247,neutralized sars-cov and 2019-ncov in vitro,TAF,Can TAF treat COVID-19
104,m5ho8jqp,15,drug,"Nevertheless, critical lessons can be learned for the development of vaccines against rapidly emerging viruses.",0.15344166277350976,vaccines against rapidly emerging viruses,TAF,Can TAF treat COVID-19
105,5ekdfers,443,drug,"In addition, the increased expression of CD4 in γδ T cells may serve as a biomarker for the assessment of SARS-CoV-2 infection.",0.1534150664000087,sars-cov-2 infection,Recombinant human angiotensin- converting enzyme 2,Can Recombinant human angiotensin- converting enzyme 2 treat COVID-19
106,b31ctbat,658,drug,"In addition, a database of 78 commonly used anti-viral drugs including those currently on the market and undergoing clinical trials for SARS-CoV-2 was constructed.",0.15339501992662652,anti-viral drugs including those currently on the market and undergoing clinical trials for sars-cov-2,TAF,Can TAF treat COVID-19
107,1yka7ej9,841,drug,Our result shows that the basic reproductive number of SARS-CoV-2 in host growth is around 3.79.,0.15338755670201992,our result shows that the basic reproductive number of sars-cov-2 in host growth is around 3 . 79,Recombinant human angiotensin- converting enzyme 2,Can Recombinant human angiotensin- converting enzyme 2 treat COVID-19
108,m0q7rm6z,803,drug,"So, there is an urgent requirement of new and effective medications that can treat the disease caused by SARS-CoV-2.",0.15338059885314884,there is an urgent requirement of new and effective medications that can treat the disease caused by sars-cov-2,Losartan,Can Losartan treat COVID-19
109,aeuy92bx,491,drug,An ACE2 mutant with low catalytic activity was also used in the study.,0.1533707192890642,an ace2 mutant with low catalytic activity,Ruxolitinib,Can Ruxolitinib treat COVID-19
110,13akn7dm,711,drug,"In addition, some of hospitalized COVID-19 patients had cardiovascular diseases in China.",0.1532942779434467,some of hospitalized covid-19 patients had cardiovascular diseases in china,Traditional Chinese Medicine,Can Traditional Chinese Medicine treat COVID-19
111,ymc93p0w,856,drug,"Steroid compounds, which are expected to have dual functions in blocking host inflammation and MERS-CoV replication, were screened from a chemical library.",0.1532843597278913,blocking host inflammation and mers-cov replication,TAF,Can TAF treat COVID-19
112,hicqy5sj,253,drug,The spike protein on the coronavirus envelope is critical for host cell infection and virus vitality.,0.1532823850643978,coronavirus,efavirenz,Can efavirenz treat COVID-19
113,nxfr24sp,739,drug,Limited data are available for hemodialysis patients with COVID-19 pneumonia.,0.15326179843660556,limited data are available for hemodialysis patients with covid-19 pneumonia,Losartan,Can Losartan treat COVID-19
114,zb434ve3,762,drug,"Overall, we suggest that the list of antiviral drugs identified by the MT-DTI model should be considered, when establishing effective treatment strategies for SARS-CoV-2.",0.1532381808233931,sars-cov-2,AZT,Can AZT treat COVID-19
115,679qfp2s,234,drug,DRV showed no activity against SARS-CoV-2 at clinically relevant concentrations (EC50 >100 μM).,0.15322827023931754,drv showed no activity against sars-cov-2,Recombinant human angiotensin- converting enzyme 2,Can Recombinant human angiotensin- converting enzyme 2 treat COVID-19
116,pidar1gz,133,drug,"More than 500 patents disclose methodologies of these four biologics with the potential for treating and preventing coronavirus infections, which may be applicable to COVID-19.",0.15322559972717012,may be applicable to covid-19,WJ-MSCs,Can WJ-MSCs treat COVID-19
117,m5ho8jqp,16,drug,"Importantly, SARS-CoV-2 vaccines will be essential to reducing morbidity and mortality if the virus establishes itself in the population.",0.1532165504913218,vaccines will be essential to reducing morbidity and mortality,RhACE2,Can RhACE2 treat COVID-19
118,cszqykpu,679,drug,"Due to the lack of effective treatment options for 2019-nCoV, various strategies are being tested in China, including drug repurposing.",0.1531753063448763,lack of effective treatment options,Naproxen,Can Naproxen treat COVID-19
119,a6p6ka8w,405,drug,We performed a sentiment analysis to identify emotional valence and predominant emotions.,0.15316738981683806,we performed a sentiment analysis to identify emotional valence and predominant emotions .,Peginterferon Lambda-1a,Can Peginterferon Lambda-1a treat COVID-19
