,sent
30,This study aims to repurpose the clinically approved drugs for the treatment of coronavirus disease 2019 (COVID-19) in a 2019-nCoV related coronavirus model.
31,"The findings would facilitate the vaccine development, had the potential to be directly applied on the treatment in this disease, but also have the potential to prevent the possible threats caused by other types of coronavirus."
32,"The patent analysis of coronavirus-related biologics includes therapeutic antibodies, cytokines, and nucleic acid-based therapies targeting virus gene expression as well as various types of vaccines."
33,": Since early December 2019, the 2019 novel coronavirus disease (COVID-19) has caused pneumonia epidemic in Wuhan, Hubei province of China."
34,Results: (1) The patients with new coronavirus pneumonia in Kunming were mainly of common type.
35,Cell entry of coronaviruses depends on binding of the viral spike (S) proteins to cellular receptors and on S protein priming by host cell proteases.
36,"There have been around 96,000 reported cases of coronavirus disease 2019 (COVID-2019) and 3300 reported deaths to date (05/03/2020)."
37,"After extensive speculation, eventually a new species of coronavirus introduced as the causative pathogen of the disease."
38,SARS-CoV-2 is a coronavirus associated with the epidemiological outbreak in late 2019.
39,The structural divergence was determined by using SuperPose Version 1.0 based on cryo-EM structure of the SARS coronavirus spike glycoprotein.
40,"Clinical classification (mild, moderate, severe, and critical) was carried out according to the diagnosis and treatment program of novel coronavirus pneumonia (Trial Fifth Edition) issued by the National Health Commission."
41,Potential inhibitors against 2019-nCoV coronavirus M protease from clinically approved medicines
42,"Sanofi Pasteur is working with the US Biomedical Advanced Research and Development Authority (BARDA) to develop a vaccine against the novel coronavirus, known as severe acute respiratory syndrome-CoV-2, which as of Feb. 20 had infected more than 75,000 people and killed more than 2,100."
43,We suggest that the nutritional status of each infected patient should be evaluated before the administration of general treatments and the current children's RNA virus vaccines including influenza vaccine should be immunized for uninfected people and health care workers.
44,COVID-19: Yet another coronavirus challenge in transplantation
45,The scientific interest on coronaviruses increased after the emergence of Severe Acute Respiratory Syndrome coronavirus (SARS-CoV) outbreaks in 2002-2003 followed by Middle East Respiratory Syndrome CoV (MERS-CoV).
46,"A novel coronavirus has been identified as the causative agent of a massive outbreak of atypical pneumonia originating at Wuhan, Hubei province, China."
47,"Unfortunately, there is limited experience with coronavirus infections during pregnancy, and it now appears certain that pregnant women have become infected during the present 2019-nCoV epidemic."
48,"Objective: To analyze the clinical characteristics of patients with novel coronavirus pneumonia in Kunming City, and to study the correlation between nutritional status and immune function."
49,"Nearly 35,000 cases were reported and at least 24 other countries or territories have reported coronavirus cases as early on as February."
50,"While human strains of Coronavirus are associated with about 15% of cases of the common cold, the SARS-CoV-2 may present with varying degrees of severity, from flu-like symptoms to death."
51,"SARS-CoV-2 is a newly emerging human infectious coronavirus that causes COVID-19, which has been recognized as a pandemic by the World Health Organization (WHO) on March 11(th)."
52,ABSTRACTThe respiratory syndrome caused by a new type of coronavirus has been emerging from China and caused more than 1000 death globally since December 2019.
53,"Three anti-HIV drugs, ritonavir, lopinavir and darunavir, might have therapeutic effect on coronavirus disease 2019 (COVID-19)."
54," Background：Since December 2019, Severe acute respiratory syndrome coronavirus 2（SARS-CoV-2）-infected disease (Coronavirus Disease 2019，COVID-19) emerged in Wuhan , China，and rapidly spread throughout China，even throughout the world."
55,"Eighteen studies reported potential drug-related adverse effects including gastrointestinal symptoms, anemia, and altered liver function in patients receiving ribavirin."
56,: We aimed to report the clinical characteristics of imported coronavirus disease-19 (COVID-19) in Jiangsu Province.
57,"We report the antiviral effect of remdesivir, lopinavir, homorringtonine, and emetine against SARS-CoV-2 virus in Vero E6 cells with the estimated 50% effective concentration at 23.15 μM, 26.63 μM, 2.55 μM and 0.46 μM, respectively."
58,"More than 80 clinical trials have been launched to test coronavirus treatment, including some drug repurposing or repositioning for COVID-19."
59,"ABSTRACT Recently, a novel coronavirus (2019-nCoV), officially known as severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), emerged in China."
60,It caused by a novel coronavirus which human being are lack of defensive function in whole population.
