,sent
29,"ETEC K99 was significantly affected by age (P <0.01; OR: 1.812; CI 95%: 0.566–1.769), colostrum feeding practice (P <0.01; OR: 5.525; CI 95%: 2.025–15.076), rotavirus infection (P <0.001; OR: 2.220; CI 95%: 0.273–1.251), vaccination of pregnant dams with combined vaccine against rotavirus, coronavirus and E. coli (K99) (P <0.001; OR: 4.753; CI 95%: 2.124–10.641), and vitamin E and selenium administration to the pregnant dam (P <0.01; OR: 3.933; CI 95%: 0.703–1.248)."
30,Virus-like particles (VLPs) represent a promising vaccine against severe acute respiratory syndrome coronavirus (SARS CoV).
31,"Severe acute respiratory syndrome (SARS) coronavirus and Middle-East respiratory syndrome (MERS) coronavirus, which caused 2003 SARS outbreak in China and 2014 MERS outbreak in the Middle East, belong to the coronavirus family."
32,Background The COVID-19 pandemic caused by SARS-CoV-2 coronavirus threatens global public health.
33,"This review is divided into two main parts; the first concerns the animal coronaviruses and their pathogenesis, with an emphasis on the functions of individual viral genes, and the second discusses the newly described human emerging pathogen, SARS-CoV."
34,Transgenic cauliflower plants cv Early Snowball were obtained in similar procedure and have shown detectable amounts of SARS coronavirus spike-protein (SARS-CoV S1) in floret tissue of mature curd.
35,"Our findings from phylogenetic analysis may enhance our understanding of the evolution of TGEV, as well as the other coronaviruses."
36," Feline coronavirus infection can progress to a fatal infectious peritonitis, which is a widespread feline disease without an effective vaccine."
37,"Although MERS has been associated with 30% case fatality in human beings, MERS coronavirus (MERS-CoV) infection in dromedaries is usually asymptomatic."
38," Severe acute respiratory syndrome (SARS) is caused by a novel coronavirus (SARS-CoV), spread largely via droplets."
39,"Transmissible gastroenteritis coronavirus (TGEV) is a member of the genus Coronavirus, family Coronaviridae, order Nidovirales."
40,Rotavirus and Coronavirus Vaccines
41,"In view of the restricted knowledge on the diversity of coronaviruses in poultry other than chicken, this study aimed to investigate the genetic diversity of coronaviruses in quail, pheasant, and partridge from two regions of Northern Italy."
42, The Middle East respiratory syndrome coronavirus (MERS-CoV) that causes a severe lower respiratory tract infection in humans is now considered a pandemic threat to the Gulf region.
43, Continuous efforts have been made to develop a prophylactic vaccine against severe acute respiratory syndrome coronavirus (SARS-CoV).
44,The DNA vaccine contained a plasmid encoding the SARS coronavirus (SARS-CoV) S protein under the control of the human CMV promoter and intron A.
45,Interpretation A vectored mucosal vaccine expressing the SARS-coronavirus S protein alone may be highly effective in a single-dose format for the prevention of SARS.
46, The causative agent of severe acute respiratory syndrome (SARS) has been identified as a new type of coronavirus.
47,Porcine epidemic diarrhea virus (PEDV) is an alphacoronavirus that has a significant agricultural and economic impact due to the high mortality rate associated with infection of neonatal piglets.
48,Middle East Respiratory Syndrome Coronavirus (MERS-CoV) is an emerging pathogen with the potential to pose a threat to global public health.
49,"Given periodic outbreaks of fatal human infections caused by coronaviruses, development of an optimal coronavirus vaccine platform capable of rapid production is an ongoing priority."
50, Infectious bronchitis virus (IBV) is a coronavirus that causes an acute and highly contagious disease in chickens.
51,This is the first demonstration of a coronavirus-induced alteration in the microenvironment of the secretory pathway.
52,"This review will summarize current knowledge on the capacity of human coronaviruses to survive in the environment and the efficacy of well-known antiseptic-disinfectants against them, with particular focus on the development of new methodologies to evaluate the activity of new antiseptic-disinfectants on viruses."
53,"Using serum samples from patients with PCR-confirmed infections of SARS-CoV-2, other coronaviruses, or other respiratory pathogenic infections, we validated and tested various antigens in different in-house and commercial ELISAs."
54, The nucleocapsid (N) protein of a coronavirus plays a crucial role in virus assembly and in its RNA transcription.
55,We conducted a challenge/rechallenge trial in which 3 alpacas were infected with Middle East respiratory syndrome coronavirus.
56,"Starting point Yi Guan and colleagues (Science 2003; 302: 276–78) recently reported the isolation of severe acute respiratory syndrome (SARS) coronavirus (CoV) from Himalayan palm civets (Paguna larvata) in wet markets in Shenzen, southern China."
57,"Currently, no licensed vaccine or drug treatment is available to treat patients infected with either coronavirus."
58,"The respiratory viruses—which include influenza viruses, parainfluenza viruses, respiratory syncytial virus (RSV), rhinoviruses, coronaviruses, and adenoviruses—cause the majority of these illnesses."
59, Infectious bronchitis virus (IBV) as an avian coronavirus is still posing a persistent and imminent threat to the poultry industry worldwide.
60,"As proof-of-concept, we measure the NII for different epitopes on an immunogen comprised of the receptor-binding domain from MERS coronavirus (MERS-CoV)."
61,"For this purpose, we investigated the antigenicity of different regions of the SARS coronavirus (SARS-CoV) nucleocapsid (N) protein."
62,Cross-species transmission of zoonotic coronaviruses (CoVs) can result in pandemic disease outbreaks.
63,Emerging respiratory coronaviruses such as the Severe Acute Respiratory Syndrome coronavirus (SARS-CoV) and Middle East Respiratory Syndrome coronavirus (MERS-CoV) pose potential biological threats to humans.
64,"The 1.25-Å resolution crystal structure of PEDV nsp1 shows high similarity to severe acute respiratory syndrome coronavirus (SARS-CoV) nsp1(13–128) and transmissible gastroenteritis virus (TGEV) nsp1(1–104), despite a lack of sequence homology."
65,Analysis revealed the disease to be due to a novel virus which was named Middle East Respiratory Coronavirus (MERS-CoV).
66,"In this study, we attempted to define differences in the hemagglutinin-esterase (HE) glycoprotein between 11 bovine coronaviruses (BCV) recent (post-1991) and past (pre-1991) isolates from neonatal calf diarrhoea (NCD) and winter dysentery (WD) syndromes as a basis for strain differentiation related to the clinical source of the isolates."
67,"In this study, we demonstrated that the receptor-binding domain (RBD) of S protein is an important immunogenic site in patients with SARS and rabbits immunized with inactivated SARS-CoV."
68,"We found that a soluble form of ACE2, but not of the related enzyme ACE1, blocked association of the S1 domain with Vero E6 cells."
69,"Middle East respiratory syndrome coronavirus (MERS-CoV) causes severe respiratory disease in humans with a case fatality rate of over 39%, and poses a considerable threat to public health."
70,The aetiological agent was eventually identified as a coronavirus and designated Middle East respiratory syndrome coronavirus (MERS-CoV).
71,The Middle East respiratory syndrome coronavirus was first identified in 2012 and has since then remained uncontrolled.
72,Information about the open-access article 'Wuhan novel coronavirus 2019nCoV' in DOAJ.
73,• Middle East respiratory syndrome coronavirus (MERS-CoV) is resurgent in Saudi Arabia.
74,"Bovine coronaviruses, like other animal coronaviruses, have a predilection for intestinal and respiratory tracts."
75,It highlights antiviral strategies involving small molecules and biologics targeting complex molecular interactions involved in coronavirus infection and replication.
76,The novel Coronavirus (SARS-CoV-2) is a one health issue
77,Severe Acute Respiratory Syndrome coronavirus and Middle East Respiratory Syndrome coronavirus (MERS) were never isolated in Hajj pilgrims.
78,A novel coronavirus was reported to the World Health Organization (WHO) in China on 31 December 2019.
79,"Importantly, we discovered evidence that SARS-CoV-2, along with related coronaviruses, used mutations to evade attack from the human immune system."
80,"Should, and how can, exercise be done during a coronavirus outbreak?"
81,Development of Vaccines and Passive Immunotherapy Against Sars Coronavirus Using Mouse and Scid-PBL/hu Mouse Models
82,"Other detected causes of influenza-like illness consisted of respiratory syncytial virus (RSV), being predominant, and, sporadically, human coronavirus, parainfluenza 1–3, rhinovirus, and adenovirus."
83,The newly identified SARS coronavirus (SARS-CoV) can be transmitted among humans and cause severe or even fatal illnesses.
84,Exposure to non-FIP-inducing feline coronaviruses prior to challenge with virulent FIPV did not significantly affect FIP incidence but did accelerate the disease course in some cats.
85,There have been around 100 000 confirmed cases of coronavirus infection worldwide.
86,"Together, the results indicate that targeting the CoV 2’O MTase in parallel with other conserved attenuating mutations may provide a platform strategy for rapidly generating live-attenuated coronavirus vaccines.SignificanceEmergent coronaviruses remain a significant threat to global public health and rapid response vaccine platforms are needed to stem future outbreaks."
87,CD8 T cells play an important role in controlling diseases caused by other coronaviruses and in mediating vaccine-induced protective immunity in corresponding animal models.
88,We developed an attenuated VSV recombinant (VSV-S) expressing the SARS coronavirus (SARS-CoV) spike (S) protein.
89, Feline infectious peritonitis virus (FIPV) is a coronavirus that induces a fatal systemic disease mediated by an inappropriate immune response.
90,"The S, nsp3, and nsp8 proteins were also predicted by Vaxign-ML to induce high protective antigenicity."
91,"Rhinovirus/enterovirus had the highest prevalence (41.5%), followed by influenza (15.8%), adenovirus (9.8%), parainfluenza and respiratory syncytial virus (RSV) (both 9.7%), coronavirus (5.6%), human metapneumovirus (5.5%) and human bocavirus (HBov) (2.0%)."
92,"A novel type of coronavirus (2019-nCoV) infecting humans appeared in Wuhan, China, at the end of December 2019."
93,"Here, we review existing vaccine technologies for swine coronaviruses and highlight promising technologies which may help to control these important viruses in the future."
94,"SARS is caused by a previously unrecognized lineage of coronavirus, SARS-CoV, which like influenza has an RNA based genome."
95,"Within few weeks, the World Health Organization (WHO) announced a novel coronavirus designated as coronavirus disease 2019 (COVID-19)."
96,This work investigates the formulation and in vivo efficacy of dendritic cell (DC) targeted plasmid DNA loaded biotinylated chitosan nanoparticles for nasal immunization against nucleocapsid (N) protein of severe acute respiratory syndrome coronavirus (SARS-CoV) as antigen.
97, SARS-CoV (severe acute respiratory syndrome-associated coronavirus) strain GZ50 was partially purified and inactivated with 1:2000 formaldehyde.
98,"Middle East respiratory syndrome coronavirus (MERS-CoV) uses the S1(B) domain of its spike protein to bind to dipeptidyl peptidase 4 (DPP4), its functional receptor, and its S1(A) domain to bind to sialic acids."
99," Middle East respiratory syndrome coronavirus (MERS-CoV) has continued spreading since its emergence in 2012 with a mortality rate of 35.6%, and is a potential pandemic threat."
100,"More generally, our approach may allow the development of vaccines against infections with other pathogenic coronaviruses, including that causing severe acute respiratory syndrome in humans."
101,We have previously reported that a subunit protein vaccine based on the receptor-binding domain (RBD) of severe acute respiratory syndrome coronavirus (SARS-CoV) spike protein and a recombinant adeno-associated virus (rAAV)-based RBD (RBD-rAAV) vaccine could induce highly potent neutralizing Ab responses in immunized animals.
102,": Bovine coronavirus (BCV) is associated with respiratory infections in cattle of all ages; however, a temporal study to evaluate the effect of BCV immunity on virus shedding and bovine respiratory disease (BRD) incidence in pre-weaned beef calves has not been reported."
103,"Large RNA virus genomes, such as from Coronaviruses, are cumbersome to clone and to manipulate in E. coli hosts due to size and occasional instability1-3."
104,"The findings would facilitate the vaccine development, had the potential to be directly applied on the treatment in this disease, but also have the potential to prevent the possible threats caused by other types of coronavirus."
105,Investigation of Antibody-Dependent Enhancement (ADE) of SARS coronavirus infection and its role in pathogenesis of SARS
106,Universal coronavirus vaccine; spike protein cloning and expression for use as a recombinant vaccine
107,"Occupational pulmonary infectious diseases include tuberculosis (TB) and many viral pathogens, including influenza, coronavirus (severe acute respiratory syndrome or SARS), varicella, respiratory syncytial virus, and hantavirus."
108,Fecal secretory immunoglobulin A (IgA) antibodies in dogs infected or vaccinated with canine coronavirus (CCV) were evaluated by an enzyme-linked immunosorbent assay.
109,"No SARS-like coronavirus had been isolated but a novel avian coronavirus strain, Peafowl/GD/KQ6/2003 (KQ6), was identified."
110,"The synthetic virus replicated abundantly in the enteric tract and was fully virulent, demonstrating that the tropism and virulence of the recovered coronavirus can be modified."
111,A newly identified novel coronavirus (SARS-CoV-2) is causing pneumonia-associated respiratory syndrome across the world.
112,"However, although the rapid identification of the agent represented an important breakthrough, our understanding of the deadly virus remains limited."
113,Middle East respiratory syndrome coronavirus (MERS-CoV) first emerged in late 2012.
114,"Only alphacoronaviruses and betacoronaviruses harbor nonstructural protein 1 (nsp1), which performs multiple functions in inhibiting antiviral host responses."
115,The emergence of Middle East respiratory syndrome coronavirus (MERS-CoV) as a cause of severe respiratory disease highlights the need for effective approaches to CoV vaccine development.
116," The causative agent of severe acute respiratory syndrome (SARS) has been identified as SARS-associated coronavirus (SARS-CoV), but the prophylactic treatment of SARS-CoV is still under investigation."
117,Vaccine development for severe acute respiratory syndrome coronavirus (SARS-CoV) has mainly focused on the spike (S) protein.
118,"Since 1997, several new respiratory viruses and their subgroups have been discovered: influenza A viruses H5N1 and H1N1, human metapneumovirus, coronaviruses SARS, NL63 and HKU1, human bocavirus, human rhinoviruses C and D and potential respiratory pathogens, the KI and WU polyomaviruses and the torque teno virus."
119,The novel coronavirus outbreak declared a Public Health Emergency of International Concern on 30 January 2020.
120, An epidemiological survey for canine parvovirus (CPV) and canine coronavirus (CCoV) infections was conducted in Western Europe.
121,"These were compared with previously published sequencing data of other IBV strains, as well as other coronaviruses, in order to correlate the serological and evolutionary relationship of coronaviruses."
122,"In addition, it is equally important to develop vaccines for humans that induce broader reactivity against various coronaviruses to be prepared for a potential next CoV outbreak."
123,"It is unclear whether newly reported viral respiratory pathogens (such as the Middle East respiratory syndrome coronavirus, will be more of a problem in HIV-infected individuals than the general population."
124,"We also outline military-specific initiatives in (i) surveillance, (ii) vaccine development and policy, (iii) novel influenza and coronavirus diagnostic test development and surveillance methods, (iv) influenza virus transmission and severity prediction modeling efforts, and (v) evaluation and implementation of nonvaccine, nonpharmacologic interventions."
125,"Middle East respiratory syndrome coronavirus (MERS-CoV) emerged in 2012, causing severe acute respiratory disease and pneumonia, with 44% mortality among 136 cases to date."
126,"More recently, three novel coronaviruses associated with severe human respiratory disease were found, including (i) the severe acute respiratory syndrome coronavirus, associated with a significant atypical pneumonia and 10% mortality; (ii) HKU-1, associated with chronic pulmonary disease; and (iii) NL63, associated with both upper and lower respiratory tract disease in children and adults worldwide."
127,"In this review, we discuss the role of anti-virus CD4 and CD8 T cells during respiratory coronavirus infections with a special emphasis on emerging coronaviruses."
128,"In this article, we provide an overview of the many applications of NGS in diagnostic virology."
129,Coronaviruses (CoVs) infect many species causing a variety of diseases with a range of severities.
130,"Molecular analysis suggest that 2019-nCoV could be originated from bats after passaging in intermediate hosts, highlighting the high zoonotic potential of coronaviruses."
131,Avian coronavirus (Gammacoronavirus) was detected in quail not vaccinated against Infectious Bronchitis Virus (IBV) and in pheasants vaccinated with an IBV Massachusetts serotype.
132,"A nasal swab was taken for polymerase chain reaction (PCR) detection of influenza virus, respiratory syncytial virus (RSV), metapneumovirus, rhinovirus, and coronavirus."
133,"Additionally, poxviruses can be engineered to specifically target cancer cells and are used as a vaccine vector against tuberculosis, influenza, and coronaviruses."
134,Present results indicate that the peafowl isolate KQ6 is a Massachusetts prototype like coronavirus strain which undergoes few genetic changes and peafowl might have acted as a natural reservoir of IBV for very long time.
135,"To gain comprehensive genetic information of circulating avian coronavirus infectious bronchitis virus (IBV) isolates in China, analysis of the phylogenetic tree, entropy of the amino acid sequences, and the positive selection as well as computational recombinations of S1, M and N genes of 23 IBV isolates was conducted in the present study."
136,Efforts towards developing a vaccine for Middle East respiratory syndrome coronavirus (MERS-CoV) have yielded promising results.
137,"Finally, coronavirus infections are associated with mainly respiratory and enteric diseases, and natural transmission of coronaviruses occurs via mucosal surfaces."
138,"In many instances these outbreaks have been newly emerging (SARS coronavirus), re-emerging (Ebola virus, Zika virus) or zoonotic (avian influenza H5N1) virus infections."
139,"Humans are highly susceptible to infection with respiratory viruses including respiratory syncytial virus (RSV), influenza virus, human metapneumovirus, rhinovirus, coronavirus, and parainfluenza virus."
140,"The onset of acute enteritis is associated with infection by viruses that replicate at or near the site of entry into the intestinal mucosa, including caliciviruses, rotaviruses, adenoviruses, astroviruses, and coronaviruses."
141,"In children younger than 12 months, Coronavirus OC43 was the most common, while influenza A was most frequently observed in children older than 48 months (p < 0.05)."
142,"It was indispensable for generating coronavirus-specific ELISA antibody activities that the sample was applied to the mock-infected, normal CRFK cells in parallel with the CCV-infected cells and then the optical density values given by the mock-infected cell antigen were subtracted from those given by the virus-infected cell antigen."
143,"While human strains of Coronavirus are associated with about 15% of cases of the common cold, the SARS-CoV-2 may present with varying degrees of severity, from flu-like symptoms to death."
144,"Using both noroviruses and coronaviruses as model systems, we demonstrate the utility of the VRP 3526 platform in the generation of recombinant proteins, production of virus-like particles, and in vivo efficacy as a vaccine against emergent viruses."
145,"A new coronavirus SARS-CoV-2, recently discovered in Wuhan, China, has caused over 74000 infection cases and 2000 deaths."
146,"Middle East respiratory syndrome coronavirus (MERS-CoV), a new coronavirus that has been causing severe and fatal acute respiratory illnesses in humans since its outbreak in 2012, has raised public fear worldwide."
147,"Porcine hemagglutinating encephalomyelitis (PHE) is caused by the coronavirus hemagglutinating encephalomyelitis virus (PHE-CoV), and the recent, rapid spread of PHE-CoV in piglets from many countries emphasizes the urgent need for a PHE-CoV vaccine."
148,"Group A, B, C mAbs target the epitopes that may overlap with the previously characterized Conf I, III, and VI respectively, but they display different capacity to block the receptor binding."
149,"All the coronavirus 5′-termini and PLpro domains were divergent, unlike the Mpro and the RdRp domains that were highly conserved with 28% and 48% conserved residues, respectively."
150,"For the protection of neonatal and older animals, oral live vaccines present the attractive property of inducing desired mucosal immune responses, including colostral antibodies in sows—an effective means to passively protect suckling piglets."
151,"Not detected were Coronavirus, Cardiovirus, Cosavirus, Salivirus, Sapovirus, and Norovirus."
152,"A phylogenetic tree of the nucleocapsid protein of various coronaviruses indicates that the coronaviruses fall into distinct groups that correspond to the three major antigenic groups; however, a phylogenetic tree of the IBV nucleocapsid shows that this does not hold true for the type specific antigenic groups of IBV."
153,The rotavirus gene encoding the VP7 protein was cloned into the coronavirus cDNA.
154," Middle East respiratory syndrome (MERS) is a viral respiratory illness caused by a coronavirus (CoV), first identified in Saudi Arabia in 2012."
155,"The novel coronavirus infection (COVID-19 or Coronavirus disease 2019) that emerged from Wuhan, Hubei province of China has spread to many countries worldwide."
156,Molecular characterization of the severe acute respiratory syndrome coronavirus has revealed genetic diversity among isolates.
157,"We provide an overview of respiratory virus-induced HI, including viruses such as respiratory syncytial virus (RSV), rhinovirus (RV), coronavirus (CoV) and influenza virus (IV)."
158,"Several viruses including influenza A, rhinovirus, and non-MERS coronaviruses had low carriage rates among arriving pilgrims and a statistically significant increase in their carriage rate was observed, following participation in the Hajj."
159,"In the absence of a rapid diagnostic test, therapy or vaccine, isolation of individuals diagnosed with SARS and quarantine of individuals feared exposed to SARS virus were used to control the spread of infection."
160,"Recently, several potent human monoclonal antibodies (hmAbs) targeting the Severe Acute Respiratory Syndrome-Associated coronavirus (SARS CoV) S glycoproteins were developed quickly after the virus was identified in 2003."
161,"We review here efforts to develop next-generation vaccines through targeting these key immunomodulatory genes in influenza virus, coronaviruses, respiratory syncytial virus, measles virus, and mumps virus."
162,"Furthermore, live rDNA vectors that replicate in the gut and express coronavirus genes may provide a new generation of coronavirus vaccines."
163,"The Coronaviridae family, an enveloped RNA virus family, and, more particularly, human coronaviruses (HCoV), were historically known to be responsible for a large portion of common colds and other upper respiratory tract infections."
164,OBJECTIVE: The current study was intended to evaluate the knowledge and awareness toward Middle East respiratory syndrome coronavirus (MERS-CoV) of pilgrims from Saudi Arabia and from different Arabian countries.
165,The spike (S) glycoprotein is thought to play a complex and central role in the biology and pathogenesis of SARS coronavirus infection.
166,"Multiplex PCR was performed to detect respiratory viruses: influenza virus, adenovirus, coronavirus, respiratory syncytial virus, rhinovirus, human metapneumovirus, parainfluenza virus, bocavirus, and enterovirus."
167,The development of the HCV replicon system and its application to screening for antiviral agents provided tangible benefit with the disclosure of mechanistically and structurally diverse HCV inhibitors.
168,"While effective vaccines against influenza, H. influenzae type b (Hib) and S. pneumoniae infections have been available for several years, no vaccine is available at present against illnesses caused by RSV, PIV-3, metapneumovirus or any of the three novel coronaviruses."
169," The causative agent of severe acute respiratory syndrome (SARS) has been identified as a new type of coronavirus, SARS-associated coronavirus (SARS-CoV)."
170," To clarify the prevalence of canine coronavirus (CCoV) infection in Japan, faecal samples from 109 dogs with diarrhoea were examined for CCoV RNA together with canine parvovirus type 2 (CPV-2) DNA."
171,The ongoing Middle East respiratory syndrome coronavirus (MERS-CoV) outbreaks pose a worldwide public health threat.
172,"The serum antibody responses of cattle with respiratory coronavirus infections during the pathogenesis of shipping fever pneumonia were analyzed with different bovine coronavirus antigens, including those from a wild-type respiratory bovine coronavirus (RBCV) strain (97TXSF-Lu 15-2) directly isolated from lung tissue from a fatally infected bovine, a wild-type enteropathogenic bovine coronavirus (EBCV) strain (Ly 138-3), and the highly cell culture-adapted, enteric prototype strain (EBCV L9-81)."
173,There was no elevated antibody response in serum or lacteal secretions of cows vaccinated once or twice with a commercially available modified live rota-coronavirus vaccine.
174,"CONCLUSION: Thus, monitoring of bovine coronavirus in Ireland is important as the current isolates in circulation in the south of Ireland may be diverging from the available vaccine strain, which may have implications regarding future BCoV vaccine efficacy."
175," Coronavirus infection was investigated in apparently healthy wild peafowls in Guangdong province of China in 2003, while severe acute respiratory syndrome (SARS) broke out there."
176,We assessed here its significance for the hepatitis C virus E2 envelope protein and a counterpart deleted for hypervariable region-1 (HVR1).
177,Middle East Respiratory Syndrome Coronavirus (MERS-CoV) is an emerging zoonotic virus considered as one of the major public threat with a total number of 2 298 laboratory-confirmed cases and 811 associated deaths reported by World Health Organization as of January 2019.
178,"The core structure of PEDV nsp1 shows high similarity to those of severe acute respiratory syndrome coronavirus (SARS-CoV) nsp1 and transmissible gastroenteritis virus (TGEV) nsp1, despite its low degree of sequence homology."
179,"The viruses most commonly isolated from symptomatic patients during the Hajj by PCR were rhinovirus (5.9–48.8% prevalence), followed by influenza virus (4.5–13.9%) and non-MERS coronaviruses (2.7–13.2%) with most infections due to coronavirus 229E; other viruses were less frequently isolated."
180,"Enteropathogenic E. coli was identified on 13 of the 15 farms, rotavirus on 11 and coronavirus on ten."
181,Characterized animal models are needed for studying the pathogenesis of and evaluating medical countermeasures for persisting Middle East respiratory syndrome-coronavirus (MERS-CoV) infections.
182,"Despite severe epidemic outbreaks on several occasions and lack of antiviral drug, not much progress has been made with regard to an epitope-based vaccine designed for HCoV."
183,"ELISA, Western-blotting and neutralization assay detected specific antibody against SARS coronavirus."
184,"These data show that the entry of severe acute respiratory syndrome coronaviruses can be enhanced by Abs, and they underscore the need to address the evolving diversity of this newly emerged virus for vaccines and immune therapies."
185,: Development an effective vaccine against Middle East respiratory syndrome coronavirus (MERS-CoV) is urgent and limited information is available on vaccination in nonhuman primate (NHP) model.
186,"Our data suggests that 2019-nCoV is newly spilled coronavirus into humans in China is closely related to SARS-CoV, which has only 12.8% of difference with SARS-CoV in S protein and has 83.9% similarity in minimal receptor-binding domain with SARS-CoV."
187,"An antigenic variant of avian infectious bronchitis virus (IBV), a coronavirus, was isolated and characterized."
188,"Avian coronavirus is the causative agent of infectious bronchitis in chickens, leading to multisystemic disease that might be controlled if adequate vaccine strains are used."
189,"Severe acute respiratory syndrome (SARS) is a newly emerging infectious disease caused by a novel coronavirus, SARS-coronavirus (SARS-CoV)."
190,"Similar to other coronaviruses, spike (S)-glycoprotein of the virus interacts with a cellular receptor and mediates membrane fusion to allow viral entry into susceptible target cells."
191," Background Coronaviruses pose a serious threat to global health as evidenced by Severe Acute Respiratory Syndrome (SARS), Middle East Respiratory Syndrome (MERS), and COVID-19."
192,This review will give an overview of the literature on avian coronavirus spike proteins with particular focus on our recent studies on binding of recombinant soluble spike protein to chicken tissues.
193," An infectious bronchitis coronavirus, designated as ck/CH/LGX/130530, was isolated from an IBV strain H120-vaccinated chicken in this study."
194,"Coronavirus testing, mortality, vaccine development, containment vs mitigation, and more."
195,"Development of vaccines is essential for the prevention of future recurrences of severe acute respiratory syndrome (SARS), caused by the SARS coronavirus (SARS-CoV)."
196,Seven coronaviruses (CoVs) have been isolated from humans so far.
197,Coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is an ongoing global health emergency.
198,MAb 201 is a severe acute respiratory syndrome–associated coronavirus (SARS-CoV)–specific MAb that prevents establishment of viral replication in vitro and prevents viral replication in vivo when administered prophylactically.
199,"Over 100,000 cases of COVID-19 patients infected with the novel coronavirus SARS-COV-2 have been reported worldwide in approximately 2 months, resulting in over 3000 deaths."
200,One possible answer is antibody dependent enhancement (ADE) of SARS-CoV-2 due to prior exposure to other coronaviruses.
201,"In this study, we prepared and vaccinated mice with either a Spike (S) protein or inactivated whole MERS-CoV (IV) with a combined adjuvant (alum+CpG) as a vaccine formulation."
202,"4904468 Canine coronavirus vaccine Michael Gill, Stephen May assigned to Norden Laboratories Inc"
203,Coronavirus is reported to have killed fewer than 4000 people so far.
