,sent
61,"Using a probe-based single B cell cloning strategy, we have identified and characterized multiple neutralizing monoclonal antibodies (MAbs) specifically binding to the receptor-binding domain (RBD) or S1 (non-RBD) regions from a convalescent MERS-CoV-infected patient and from immunized rhesus macaques."
62,"To provide insights into the structure and function of SARS-CoV RdRp, we have located its conserved motifs that are shared by all RdRps, and built a three-dimensional model of the catalytic domain."
63,Two of these Spike-specific mAbs demonstrate the ability to neutralise SARS-CoV in vitro while another four Western immunoblot-negative mAbs also neutralise the virus.
64,"The purified S377-588-Fc protein efficiently binds to dipeptidyl peptidase 4 (DPP4), the receptor of MERS-CoV, and potently inhibited MERS-CoV infection, suggesting its potential to be further developed as a therapeutic modality for treating MERS-CoV infection and saving the patients’ lives."
65,"Taken together, these results may partially explain why smokers are particularly likely to develop severe SARS-CoV-2 infections, and they suggest that quitting smoking could lessen coronavirus susceptibility."
66,"In addition to the spike protein, we also find the evolutionary convergence of its partner protein, ORF3a, suggesting their possible co-evolutionary convergence."
67,"In our previous Correspondence to The Lancet, we described how BenevolentAI's proprietary artificial intelligence (AI)-derived knowledge graph, queried by a suite of algorithms, enabled identification of a target and a potential therapeutic against SARS coronavirus 2 (SARS-CoV-2; the causative organism in COVID-19)."
68,We also analyze the viral geographical structure that may improve our understanding of the evolution of bat SARSr-CoVs.
69,These factors could account for the greater contagiousness of the SARS-CoV-2 and have implications for efforts to prevent its spread.
70,: SARS coronavirus main proteinase (SARS CoVMpro) is an important enzyme for the replication of Severe Acute Respiratory Syndrome virus.
71,"Significantly, compound 2 displayed selective antiviral activity (CC50 >3× EC50) towards human coronavirus (HCoV)-NL63 and Middle East respiratory syndrome-coronavirus, but not severe acute respiratory syndrome-coronavirus."
72,"Using the spike receptor-binding domain of MERS-CoV (MERS-RBD) to immunize mice, we identified two neutralizing monoclonal antibodies (mAbs) 4C2 and 2E6."
73,"Collectively, the continuous surveillance of pneumonia in human and suspicious animal hosts are crucial to control the zoonotic transmission events caused by SARS-CoV-2."
74,"The Middle East respiratory syndrome coronavirus (MERS-CoV) is a virus that manifests itself in viral infection with fever, cough, shortness of breath, renal failure and severe acute pneumonia, which often result in a fatal outcome."
75,"Comparison of the genome sequences of COVID-19, SARS-CoV, and Middle East Respiratory Syndrome coronavirus (MERS-CoV) showed that COVID-19 has a better sequence identity with SARS-CoV compared to MERS CoV."
76,"Thus, by sensitizing viruses to receptor-induced conformational changes, the first S cleavages expand virus tropism to cell types that are relevant to lung infection, and therefore may be significant determinants of MERS-CoV virulence."
77,Recent estimate in May 2015 indicates that the MERS-CoV have afflicted 1167 patients with MERS worldwide with 479 deaths [41% fatality].
78,"A detailed examination of SARS-CoV infected animal and human convalescent sera could provide evidence of nAb pressure which, if found, may lead to strategies to effectively block virus evolution pathways by broadening the activity of nAbs."
79,Developing effective and safe vaccines is urgently needed to prevent infection by severe acute respiratory syndrome (SARS)–associated coronavirus (SARS-CoV).
80,"The seroprevalence of MERS-CoV antibodies increases with age in camels, while the prevalence of viral shedding as determined by MERS-CoV RNA detection in nasal swabs decreases."
81,"In addition, we also demonstrated angiotensin 1 converting enzyme (ACE)—the homologue of ACE2 could not function as a receptor for SARS-CoV."
82,"Here, we present the nferX platform for dynamic inference from over 45 quadrillion possible conceptual associations extracted from unstructured biomedical text, and their triangulation with Single Cell RNA-sequencing based insights from over 25 tissues (https://academia.nferx.com/)."
83,"Most importantly, we do not know whether a MERS-CoV epidemic is likely or not."
84,"MERS-CoV infection in mock-vaccinated dromedaries revealed high numbers of MERS-CoV-nucleocapsid positive cells, T cells, and macrophages within nasal turbinates and trachea at day four post infection."
85,"Finally, using a receptor binding domain protein vaccine and a MERS-CoV fusion inhibitor, we demonstrated the value of this model for evaluating vaccines and antivirals against MERS."
86,"Middle East respiratory syndrome coronavirus (MERS-CoV) infection in humans is highly lethal, with a fatality rate of 35%."
87,"The cell receptor angiotensin covering enzyme II (ACE2), which is the major receptor of SARS-nCoV, has been reported to be a cellular entry receptor of 2019-nCoV as well."
88,Middle East respiratory syndrome coronavirus (MERS-CoV) is an emerging zoonotic pathogen with a broad host range.
89,How to improve the efficacy of subunit vaccines through novel adjuvant formulations and routes of administration as well as currently available animal models for evaluating the in vivo efficacy of MERS-CoV vaccines are also addressed.
90,This study provides valuable information regarding humoral immune responses against SARS-CoV and the 2019-nCoV.
91,"Hence, this review will focus on recent progress regarding the structure of SARS-CoV-2 and the characteristics of COVID-19, such as the aetiology, pathogenesis and epidemiological characteristics."
92,We conducted a series of phylogenetic and bioinformatic analyses to study the evolution dynamics of MERS-CoV among different host species with genomic data.
93,"Of interest, PTEC, but not MC, maintained stable levels of SARS-CoV production in serial subcultures, suggesting a persistent state of infection."
94,Our analysis reveals nine host miRNAs which can potentially target SARS-CoV2 genes.
95,"We also compare S proteins of SARS-CoV isolated during the 2002–2003 SARS outbreak and during the much less severe 2003–2004 outbreak, and from palm civets, a possible source of SARS-CoV found in humans."
96," Picornaviruses (PV) and coronaviruses (CoV) are positive-stranded RNA viruses which infect millions of people worldwide each year, resulting in a wide range of clinical outcomes."
97,"Furthermore, only FcγRII with intact cytoplasmic signaling domains were competent to sustain ADE of SARS-CoVpp infection, thus providing additional information on the role of downstream signaling by FcγRII."
98,"In line with these observations, plasmacytoid dendritic cells have been shown to produce interferons upon SARS-CoV infection in vitro."
99,"Recently, a novel coronavirus was identified as the etiological agent of severe acute respiratory syndrome (SARS)."
100,The Ramachandran plot was used to check the stereochemistry of the protein structure.
101,This study demonstrated that the inactivated SARS-CoV was able to preserve the immunogenicity of S protein including its major neutralizing domain.
102,"COVID-19 is similar to Severe Acute Respiratory Syndrome coronavirus (SARS-CoV) virus in its pathogenicity, clinical spectrum, and epidemiology."
103,Our results showed that the antibodies could efficiently and specifically bind to their corresponding proteins from E.coli expressed or lysate of SARS-CoV infected Vero-E6 cells by Western blot analysis.
104,"Interestingly, the (S)-Me inhibitor 15h (enzyme IC(50) = 0.56 μM; antiviral EC(50) = 9.1 μM) and the corresponding (R)-Me 15g (IC(50) = 0.32 μM; antiviral EC(50) = 9.1 μM) are the most potent compounds in this series, with nearly equivalent enzymatic inhibition and antiviral activity."
105,"Human coronavirus 229E (HCoV-229E) infection in infants, elderly people, and immunocompromised patients can cause severe disease, thus calling for the development of effective and safe therapeutics to treat it."
106," Since the emergence of the severe acute respiratory syndrome (SARS) to date, neither an effective antiviral drug nor a vaccine against SARS is available."
107,It plays an important role in interaction with receptor and inducing neutralizing antibodies.
108,"The findings would facilitate the vaccine development, had the potential to be directly applied on the treatment in this disease, but also have the potential to prevent the possible threats caused by other types of coronavirus."
109,"The single nucleotide polymorphism (SNP) −336A>G in the CD209 promoter has been demonstrated to regulate promoter activity and to be associated with several important infectious diseases, such as human immunodeficiency virus–1 (HIV-1), Mycobacterium tuberculosis, and Dengue fever."
110,Immunization with a killed or inactivated viral vaccine provides significant protection in animals against challenge with certain corresponding pathogenic coronaviruses (CoVs).
111,"Methods: Using surface-enhanced laser desorption/ionization (SELDI) ProteinChip technology, we profiled and compared serum proteins of 39 patients with early-stage SARS infection and 39 non-SARS patients who were suspected cases during the SARS outbreak period."
112,"In addition, the results suggest guanosine derivative (IDX-184), Setrobuvir, and YAK as top seeds for antiviral treatments with high potential to fight the SARS-CoV-2 strain specifically."
113,These data suggest that the RBD of S protein is a major neutralization determinant in the inactivated SARS vaccine which can induce potent neutralizing antibodies to block SARS-CoV entry.
114,"To address this need, we are developing a subunit recombinant protein vaccine comprising residues 377–588 of the MERS-CoV spike protein receptor-binding domain (RBD), which, when formulated with the AddaVax adjuvant, it induces a significant neutralizing antibody response and protection against MERS-CoV challenge in vaccinated animals."
115,Homology modelling was done to explore the likely receptor-binding properties of the virus.
116," Middle East respiratory syndrome coronavirus (MERS-CoV) first emerged in 2012, and over 2000 infections and 800 deaths have been confirmed in 27 countries."
117,Efforts focused solely on the receptor-binding domain (RBD) of the viral Spike (S) glycoprotein may not optimize neutralizing antibody (NAb) responses.
118,"We identified the near-full-genome sequence (29,908 nt, >99%) of Middle East respiratory syndrome coronavirus (MERS-CoV) from a nasal swab specimen from a dromedary camel in Egypt."
119,"To understand MERS-CoV engagement of sialylated receptors, we determined the cryo-EM structures of S in complex with 5-N-acetyl neuraminic acid, 5-N-glycolyl neuraminic acid, sialyl-Lewis(X), α2,3-sialyl-N-acetyl-lactosamine and α2,6-sialyl-N-acetyl-lactosamine at 2.7–3.0 Å resolution."
120,We describe herein the structure-guided design and evaluation of a novel class of inhibitors of MERS-CoV 3CL protease that embody a piperidine moiety as a design element that is well-suited to exploiting favorable subsite binding interactions to attain optimal pharmacological activity and PK properties.
121,"In this study, two epitopes (N1 and N2) of the N protein of SARS-CoV were predicted by bioinformatics analysis."
122,Health care workers are particularly vulnerable to SARS.
123,"Aggressive quarantine measures, possibly aided by rising summer temperatures, successfully terminated the first eruption of SARS and provided at least a temporal break, which allows us to consolidate what we have learned so far and plan for the future."
124,Background: The colloidal gold immunochromatography assay (GICA) is a rapid diagnostic tool for novel coronavirus disease 2019 (COVID-19) infections.
125,"To further explore our hypothesis, we used the 454 sequence analysis of a large naïve library of human IgM antibodies which had been used for selecting antibodies against SARS CoV receptor-binding domain (RBD), and soluble G proteins (sG) of henipaviruses."
126, The clinical picture of severe acute respiratory syndrome (SARS) is characterized by an over-exuberant immune response with lung lymphomononuclear cells infilteration and proliferation that may account for tissue damage more than the direct effect of viral replication.
127,Our results reveal that LF inhibits SARS pseudovirus infection in a dose-dependent manner.
128,COVID-19 causes COVID-19 disease that has similar symptoms as SARS-CoV.
129,Further definition of the exposures responsible for the sporadic introductions of MERS-CoV into human populations is urgently needed.
130,"Since certain residues at these positively selected sites are associated with receptor recognition and/or membrane fusion, they are likely to be the crucial residues for animal-to-human transmission of SARS-CoVs, and subsequent adaptation to human hosts."
131,Sensitive diagnosis of SARS is essential for the control of the disease in humans.
132,"The murine dipeptidyl peptidase 4 (Dpp4) protein is not a functional receptor for MERS-CoV; thus, mice are resistant to MERS-CoV infection."
133,"Importantly, the majority of escape mutations had negative impacts on hDPP4 receptor binding and viral fitness."
134,"Since December, 2019, an outbreak of pneumonia caused by the new coronavirus (2019-nCoV) has hit the city of Wuhan in the Hubei Province."
135,"[Image: see text] Eighteen active substances, including 17 organosulfur compounds found in garlic essential oil (T), were identified by GC–MS analysis."
136,"By screening of public databases, we identified fourteen such polymorphisms."
137,"Undifferentiated cells expressing little ACE2 were poorly infected with SARS-CoV, while well-differentiated cells expressing more ACE2 were readily infected."
138,A unique feature for SARS-CoV is that nsp16 requires non-structural protein nsp10 as a stimulatory factor to execute its MTase activity.
139,"Among them, ORF8 is distinguished in being rapidly evolving, possessing a unique insert and a hypervariable position among SARS-CoV-2 genomes in its predicted ligand-binding groove."
140,"The epitopes recognized by monoclonal antibodies D3C5 and D3D1 are linear, and correspond to 447–458 and 789–799 amino acids of spike protein of SARS-CoV, respectively."
141,"At the end of 2002, the first cases of severe acute respiratory syndrome (SARS) were reported, and in the following year, SARS resulted in considerable mortality and morbidity worldwide."
142,"We pay particular attention to how changes in the Spike attachment protein, both within and outside of the receptor binding domain, mediate the emergence of coronaviruses in new host populations."
143,These findings expose an exceptional evolutionary exploration exerted by coronaviruses toward host recognition.
144,"Methods In this study, the COVID-19 spike binding site to the cell-surface receptor (Glucose Regulated Protein 78 (GRP78)) is predicted using combined molecular modeling docking and structural bioinformatics."
145,"Cell entry by coronaviruses involves two principal steps, receptor binding and membrane fusion; the latter requires activation by host proteases, particularly lysosomal proteases."
146,The soluble ectodomain of ACE2 specifically abrogated S-mediated infection and might therefore be exploited for the generation of inhibitors.
147,"The native S1 gene was modified at A + T abundant regions; n.t.777–1683, n.t.1041–1050, n.t.1236–1248, n.t.1317–1335, n.t.1590–1605; based on the same amino acid sequences."
148,"In the study, six tentative antigenic epitopes (S1 S2 S3 S4 S5 S6) of the spike protein of SARS-CoV were predicted by bio-informatics analysis, and a multi-epitope chimeric gene of S1–S2–S3–S4–S5–S6 was synthesized and fused to downstream GST gene in pGEX-6p-1."
149,Our finding will provide important insights into the host range of SARS-CoV-2 and a new strategy to design an optimized ACE2 for SARS-CoV-2 infection.
150,Chromatin immunoprecipitaion (ChIP) and reporter gene assays in 3b expressing jurkat cells showed recruitment of 3b on the RUNX1 binding element that led to an increase in RUNX1b transactivation potential on the IL2 promoter.
151,: Severe acute respiratory syndrome (SARS) is caused by a newly discovered coronavirus (SARS-CoV).
152,RESULTS: MERS-CoV replication significantly upregulated C-type lectin receptor (CLR) macrophage-inducible Ca(2+)-dependent lectin receptor (Mincle).
153,These mAbs could recognize SARS-CoV-infected cells by immunofluorescence analysis (IFA).
154,The structures of complexes of griffithsin with mannose and N-acetylglucosamine defined the locations of three almost identical carbohydrate binding sites on each monomer.
155,"Upregulated BASC miRNAs-17*, -574-5p, and -214 are co-opted by SARS-CoV to suppress its own replication and evade immune elimination until successful transmission takes place."
156,"The comparison of the secondary and 3DMMS of the RBD of IT-batCoVs with MERS, HKU4 and HKU5 bat sequences showed two aa deletions located in a region corresponding to the external subdomain of MERS-RBD in IT-batCoV and HKU5 RBDs."
157,"CoV spike (S) protein which is crucial for receptor binding, membrane fusion via conformational changes, internalization of the virus, host tissue tropism and comprises crucial targets for vaccine development, remain largely uncharacterized."
158,The increased human cases and high mortality rate of MERS-CoV infection make it essential to develop safe and effective vaccines.
159,"Based on clinical features, pathology, the pathogenesis of acute respiratory disorder induced by either highly homogenous coronaviruses or other pathogens, the evidence suggests that excessive inflammation, oxidation, and an exaggerated immune response very likely contribute to COVID-19 pathology."
160,The recent outbreak by SARS-CoV-2 has generated a chaos in global health and economy and claimed/infected a large number of lives.
161,Methods: The present study used immuno-informatics and computational approaches to identify conserved B-and T cell epitopes for the MERS-COV spike (S) protein that may perform a significant role in eliciting the resistance response to MERS-COV infection.
162,"Consistent with this observation, pharmacological inhibitors of PI4KB blocked entry of SARS pseudovirions."
163,Background: The newly identified coronavirus known as 2019-nCoV has posed a serious global health threat.
164,"Here, we describe that appropriate all-hydrocarbon stapling of the short helical portion-based peptide to reinforce its bioactive secondary structure remarkably improves antiviral potency."
165,The results showed that protein C is an authentic antigen against SARS-CoV antibody.
166,The S protein is a potent target for SARS-specific cell-mediated immune responses.
167,SARS-CoV-2 is surging in the public and caused substantial burdens due to its human-to-human transmission.
168,Structural proteins in addition to their roles in virion structure and morphogenesis also contribute significantly to viral spread in vivo and in antagonizing host cell responses.
169,"The recombination occurred within the viral spike glycoprotein, which recognizes cell surface receptor."
170,"Our findings suggest that the design of SARS vaccine should consider not only preventing the reemergence of SARS-CoV but also providing cross-protection, thus interrupting zoonotic transmission of a group of genetically divergent civet CoVs of broad geographic origin."
171, Little information is available on persistent infection of severe acute respiratory syndrome (SARS) coronavirus (CoV).
172,"We suggested that this drug could be of use in countering SARS-CoV-2 infections, subject to appropriate clinical testing."
173,"In tests of MERS-CoV–infected dromedaries, we found viruses related to an HCoV, known as HCoV-229E, in 5.6% of 1,033 animals."
174,The discovery of epitopes is helpful to the development of SARS-CoV-2 vaccine.
175,It cannot be excluded that because of the COVID-19 less severe clinical picture it can spread in the community more easily than MERS and SARS.
176,"Consequently, the polydisperse, natural products of heparan sulfate and the allied polysaccharide, heparin have been found to be involved and prevent infection by a range of viruses including S-associated coronavirus strain HSR1."
177,This work investigates the formulation and in vivo efficacy of dendritic cell (DC) targeted plasmid DNA loaded biotinylated chitosan nanoparticles for nasal immunization against nucleocapsid (N) protein of severe acute respiratory syndrome coronavirus (SARS-CoV) as antigen.
178,"Compared to SARS (severe acute respiratory syndrome), MERS-CoV appears to kill more people (40% versus 10%), more quickly, and is especially more severe in those with pre-existing medical conditions."
179,"Until that time, coronaviruses had not been recognized as agents causing severe disease in humans, hence, the emergence of the SARS-CoV came as a complete surprise."
180,How do different lysosomal protease activities from different cells impact coronavirus entry?
181,"In this retrospective multicenter study, we investigated the clinical course and outcomes of novel coronavirus disease 2019 (COVID-19) from early cases in Republic of Korea."
182,RBD-Fd potently protected hDPP4 transgenic mice from lethal MERS-CoV challenge.
183,"Further, we analyzed the pharmacological actions and previous trials of remdesivir to identify the feasibility of conducting experiments on COVID-19."
184,The fatality rate in MERS-CoV infection is four times higher compared with that of the closely related severe acute respiratory syndrome coronavirus infection.
185,"Genomic analyses of nCoV-2019 determined a 96% resemblance with a coronavirus isolated from a bat in 2013 (RaTG13); however, the receptor binding motif (RBM) of these two genomes share low sequence similarity."
186,"A novel mAb, CR3022, was identified that neutralized CR3014 escape viruses, did not compete with CR3014 for binding to recombinant S1 fragments, and bound to S1 fragments derived from the civet cat SARS-CoV-like strain SZ3."
187,"RESULTS: First, different SARS-CoV sequences were analyzed to predict eight candidate peptides from conserved regions of the S protein based upon HLA-A*0201 binding and proteosomal cleavage."
188,This family includes T cell receptor (TCR) that is critically involved in immune diseases such as autoimmune arthritis.
189,"A major problem with neutralizing mAb therapy is mutant escape under selective pressure, which can be solved by combination of neutralizing mAbs targeting different epitopes."
190,Interpretation We present the largest number of MERS-CoV genomes (21) described so far.
191,"cis-cleavage resulted in release of SARS S fragments into the cellular supernatant and in inhibition of antibody-mediated neutralization, most likely because SARS S fragments function as antibody decoys."
192,"To determine whether other animals are potential reservoirs, we inoculated MERS-CoV into llamas, pigs, sheep, and horses and collected nasal and rectal swab samples at various times."
193, The Severe Acute Respiratory Syndrome (SARS) is a serious life-threatening and strikingly mortal respiratory illness caused by SARS-CoV.
194," 3-Acyl-2-phenylamino-1,4-dihydroquinolin-4(1H)-one derivatives were synthesized and evaluated to show high anti-MERS-CoV inhibitory activities."
195,Serum IgG blocked binding of the S-protein to the ACE2 receptor and neutralized SARS-CoV infection in vitro.
196,No positive selection was found in any proteins of bat SARS-like-CoV.
197,The dataset for different MHC class I alleles for SARS Corona virus (Tor2 Replicase polyprotein 1ab) has been used for training and prediction of BNB.
198,"Our work demonstrates that there are at least three independent strategies for blocking SARS-CoV entry, validates these mechanisms of inhibition, and introduces promising leads for the development of SARS therapeutics."
199,SARS-CoV infected over 8000 people with approximately 10% mortality rate before it was controlled by public health measures of isolation of infected individuals and contacts.
200,Results: We report in silico identification of a comprehensive list of immunogenic peptides that can be used as potential targets for 2019 novel coronavirus (2019-nCoV) vaccine development.
201,"Notably, full genomic sequencing and antigenic study demonstrated that LYRa11 is phylogenetically and antigenically closely related to SARS CoV."
202,"They bind to a conserved site on MERS-CoV RBD with high affinity, blocking RBD's binding to MERS-CoV receptor."
203," At the end of December 2019, a novel coronavirus, 2019-nCoV, caused an outbreak of pneumonia spreading from Wuhan, Hubei province, to the whole country of China, which has posed great threats to public health and attracted enormous attention around the world."
204,It caused by a novel coronavirus which human being are lack of defensive function in whole population.
205,"However, other coronaviruses still pose a continuous threat to human health, as exemplified by the recent emergence of Middle East respiratory syndrome (MERS) in humans."
206, A recombinant SARS-CoV spike (S) glycoprotein vaccine produced in insect cells in a pre-clinical development stage is described.
207,"Within a few days the same virus was detected in a Qatari patient receiving intensive care in a London hospital, a situation reminiscent of the role air travel played in the spread of Severe Acute Respiratory Syndrome coronavirus (SARS-CoV) in 2002."
208,The electrode array enables multiplexed detection of different CoVs.
209,"The MERS-CoV envelope spike protein serves as a crucial target for neutralizing antibodies and vaccine development, as it plays a critical role in mediating viral entry through interactions with the cellular receptor, dipeptidyl peptidase 4 (DPP4)."
210, Severe acute respiratory syndrome-associated coronavirus (SARS-CoV) infection causes lung failure characterized by atypical pneumonia.
211,"MERS-CoV infection was associated with age (adjusted odds ratio [AOR] = 1.06; 95% CI [1.02–1.098], P-value = 0.004), male gender (AOR = 1.617; 95% CI [1.365–1.77], P-value < 0.001) and diabetes (AOR = 1.68; 95% CI [1.346–1.848], P-value = 0.002."
212,"Then, the binding ability of SA59B-HRP to SARS-CoV was evaluated by ELISA with S/N of 11.6, indicating higher binding specificity between them."
