,sent
14,"METHODS: Chicken HD11 macrophages were treated with GA (0, 12.5, 25, 50, 100, 200, 400, or 800 μg/ml) and lipopolysaccharide (LPS, 500 ng/ml) for 3, 6, 12, 24, or 48 h. Evaluated responses included phagocytosis, bacteria-killing, gene expression of cell surface molecules (cluster of differentiation 40 (CD40), CD80, CD83, and CD197) and antimicrobial effectors (inducible nitric oxide synthase (iNOS), NADPH oxidase-1 (NOX-1), interferon-γ (IFN-γ), LPS-induced tumor necrosis factor (TNF)-α factor (LITAF), interleukin-6 (IL-6), and IL-10), and production of nitric oxide (NO) and hydrogen peroxide (H(2)O(2))."
15,Urinary ACE2 could be a marker of renal renin-angiotensin system activation in these patients.
16,"RESULTS: WU-B had higher ACE activity at baseline then WU-L. Interestingly, baseline renal ACE2 expression and activity were higher in WU-L. AngII infusion induced same increase in blood pressure in both genotypes, no proteinuria, but caused tubulo-interstitial renal damage with increased α-SMA and monocyte/macrophage influx only in WU-B (p<0.05)."
17,"The protein expression profile in the hippocampus demonstrated markedly increased levels of IL-6, GM-CSF and eotaxin (CCL-11) in response to CCL2, but no changes in the levels of other cytokines, including TNF-α and IFN-γ."
18,"Depletion of plasma membrane cholesterol with MβCD relocalized raft-resident marker caveolin-1 as well as SARS-CoV receptor ACE2 to a nonraft environment, but did not significantly change the surface expression of ACE2."
19,"Inhibition of ACE has been shown to improve pathology in cardiovascular disease, whilst ACE2 is cardioprotective in the failing heart."
20,The DNA vaccine contained a plasmid encoding the SARS coronavirus (SARS-CoV) S protein under the control of the human CMV promoter and intron A.
21,These results suggest that the combined use of GNA and nelfinavir has therapeutic potential in the prophylaxis and treatment of cats with early-diagnosed FIP.
22,"IL-8, the main chemokine and activator of neutrophils, might be related to the lung injury upon PRRSV infection."
23,"Several combinations, including ribavirin, were assayed to test a potential synergistic effect."
24,"Furthermore, the S proteins of virulent mouse-adapted MERS-CoVs acquired a CD9-dependent cell entry character, suggesting that CD9 is a selective agent in the evolution of CoV virulence."
25,"Here, we demonstrate that SARS-CoV-2 uses the SARS-CoV receptor ACE2 for entry and the serine protease TMPRSS2 for S protein priming."
26,"Intriguingly, as a pathogen-derived ligand, Ebola GP could trigger TNF-α and IL-6 release by DCs through LSECtin."
27,We show that cellular expression of ACE2 enhanced cell adhesion.
28,"Also, titration of S protein-specific production and secretion of IL-8 by ELISA showed that the dose of 5.6nM of S produced a significant increase in IL-8 (p =0.003) compared to mock-treated controls."
29,"LPS stimulated the production of all cytokines, whereas ACE2 and losartan, an AT1R inhibitor, blocked elements of the LPS-induced cytokine response."
30,Our results show that all of the elicited anti-sera can specifically recognize HRN or HRC peptides and the native SARS-CoV S protein in an ELISA format.
31,"In summary, we provide evidence that RNA transcript therapy (RTT) is a promising approach for ACE2-based treatment of liver and lung fibrosis to be tested in fibrotic disease models."
32,"To be specific, in IEC, TGEV N protein induces cell cycle prolongation at the S-phase, ER stress and up-regulates IL-8 expression."
33,These findings indicate that treatment of N. fowleri on human astroglial cells leads to the activation of AP-1 and subsequent expression of IL-8 which are dependent on ERK activation.
34,"In this study, we constructed a rational 3D model for S1 domain of SARS-CoV spike protein by fold recognition and molecular modeling techniques."
35,"Fusion-inhibiting peptides bind to S proteins, interfere with refolding, and prevent infection."
36,"Previous studies used resistance to broad-spectrum RNA mutagens, such as ribavirin, to identify polymerases with increased fidelity that avoid misincorporation of such base analogues."
37,"In this report, ribavirin was shown to inhibit SARS-CoV replication in five different cell types of animal or human origin at therapeutically achievable concentrations."
38,"In this review, we propose that the tumour necrosis factor-α converting enzyme ADAM-17 could be the master molecule involved in regulating IL-6 class switching and through this in controlling pro- and anti-inflammatory responses to viral antigenic stimuli."
39,This review discusses the transcriptional and post-transcriptional regulation of ACE2 and the role of the ACE2/Ang 1–7 axis in cardiac physiology and in the pathophysiology of heart failure.
40,"On the other hand, over-expression of ACE2 exerts protective effects in local tissues, including the brain."
41,Recent studies have proposed that the carboxyl terminal portion (S2 subunit) of the S protein is a class I viral fusion protein.
42,"Strong stiffening was induced by IL-1β, IL-8, and TNF-α but not by IL-10, and incubations with sera and blocking antibodies against IL-1β, IL-8, or TNF-α significantly diminished the stiffening effect of serum."
43,"Similar to B-type natriuretic peptide, sACE2 activity reflected the severity of HF, with increasing levels associated with worsening New York Heart Association functional class (p < 0.0001)."
44,The signaling pathway of the ACE2–Ang-(1–7) axis has not yet been totally and clearly understood.
45,Renal ACE2 and ADAM17 were significantly increased in db/db mice compared to controls.
46,Serum levels of ACE2 and MI severity scores were determined.
47,We investigated the levels of D-dimer and C-reactive protein (CRP) in a cohort of HIV-infected adults with and without osteonecrosis of the femoral head.
48,"Spike proteins have a dual function during entry, they mediate binding to the host cell surface and also the fusion of the viral envelope with host cell membrane."
49,"Indeed, increasing ACE2 activity might be a novel approach for the treatment of acute lung failure in several diseases."
50,"Although ribavirin is a well-known antiviral drug against a broad range of both DNA and RNA viruses in vitro, its inhibitory effect and mechanism of action on porcine nidovirus replication remains to be elucidated."
51,"In particular, the S1 residue ARG453 and ACE2 residue LYS341 might be the key residues in the complex formation."
52,"Decreases in ACE2 expression and activity have been reported in models of hypertension, heart failure, atherosclerosis, diabetic nephropathy and others."
53,Angiotensin-converting enzyme 2 (ACE2) is the receptor for SARS-CoV and has been suggested to be also the receptor for 2019-nCoV.
54,"By contrast, the PKC-δ inhibitor rottlerin significantly inhibited both constitutive and high glucose-induced ACE2 shedding."
55,"These variants not only inform on the specific mechanisms by which ribavirin enfeebles the virus, but also can themselves be tools to identify new antiviral compounds."
56,"Meanwhile, IBV has developed a strategy to counteract the induction of IL-6 and IL-8 by inducing the expression of dual-specificity phosphatase 1 (DUSP1), a negative regulator of the p38 MAPK, in order to limit the production of an excessive amount of IL-6 and IL-8 in the infected cells."
57,"Moreover, cachectic markers including glucose, triglyceride, albumin and total proteins as well as levels of the proinflammatory cytokines TNF-α and IL-6 in serum and gastrocnemius tissue were measured."
58,These data demonstrate that interaction of Alphacoronavirus spike proteins with tubulin supports S protein transport and incorporation into virus particles.
59,"Moreover, LiCl increased anti-inflammatory cytokine interleukin-10 levels, decreased proinflammatory cytokine tumor necrosis factor-α levels, and enhanced apoptosis of infiltrating macrophages and neutrophils in the PA-infected mouse corneas."
60,"SARS-CoV-2, a member of the coronavirus family, has caused a global public health emergency.1 Based on our analysis of hepatitis C virus and coronavirus replication, and the molecular structures and activities of viral inhibitors, we previously reasoned that the FDA-approved heptatitis C drug EPCLUSA (Sofosbuvir/Velpatasvir) should inhibit coronaviruses, including SARS-CoV-2.2 Here, using model polymerase extension experiments, we demonstrate that the activated triphosphate form of Sofosbuvir is incorporated by low-fidelity polymerases and SARS-CoV RNA-dependent RNA polymerase (RdRp), and blocks further incorporation by these polymerases; the activated triphosphate form of Sofosbuvir is not incorporated by a host-like high-fidelity DNA polymerase."
61,"In a randomized controlled trial of indinavir, saquinavir and lopinavir in combination with low-dose ritonavir in 656 patients, median total cholesterol increased by 0.5 mmol/l in the patients with the highest minimum drug plasma concentrations."
62,"Importantly, the blockade of ACE2 on LPS-induced phosphorylation of ERK1/2, p38 and p50/p65 was also abolished by A779."
63,"First, we measured and compared the 50% effective concentration (EC50) to the mean inhibition effects of FMDV, and the 50% cytotoxic concentration (CC50) to the mean cytotoxicity of antiviral agents such as ribavirin, guanidine-hydrochloride (guanidine-HCl), 6-azauridine, and recombinant adenovirus expressing three small interference RNAs (Ad-siRNA) or porcine interferon-α (Ad-porcine IFN-α) in swine kidney cells (IBRS-2)."
64,"These results suggest that ACE2 plays a role in cell-cell interactions, possibly acting to fine-tune integrin signalling."
65,"We have also shown that bacterial—lipopolysaccharide (LPS)—and viral antigens—single stranded RNA (ssRNA)—have a profound effect in downregulating ABCG2 and BCRP levels, whilst simultaneously increasing the migration potential of EVT-like cells."
66, High levels of interleukin-6 (IL-6) in the acute stage associated with lung lesions were found in SARS patients.
67,"However, it is not clear whether upregulation of the ACE2/Ang–(1–7)/Mas axis prevents LPS–induced injury in pulmonary microvascular endothelial cells (PMVECs) by inhibiting the MAPKs/NF–κB pathways."
68,"In particular, the two best compounds shared potent antiviral activity (4: EC50 = 0.29 μM; 6: EC50 = 0.19 μM), which was comparable to that of zanamivir (EC50 = 0.14 μM), and better than that of ribavirin (EC50 = 3.2 μM)."
69,"Importantly treatment with an antioxidant led to increased IFN-γ and reduced IL-10 production in human chronic Hep-B/C samples suggesting overall a proximal regulatory role for iCa(2+) influx, ROS, and IL-10 in determining the effector/ suppressive axis of CD8(+) T cells."
70,Patients with lowest eGFR exhibited highest DPP4 and ACE2 activities.
71,"Collectively, our results indicate a rigid sequence requirement for S protein activation by TMPRSS2 but not cathepsin L."
72,"However, this second axis through ACE2 and Ang-(1–7) in RAS can be an important target for the therapy of cardiovascular and metabolic disorders."
73,Downregulation of ACE2 strongly contributes to the pathogenesis of severe lung failure.
74,High glucose-induced shedding of ACE2 from proximal tubular cells is mediated by the enzyme “a disintegrin and metalloproteinase-17″ (ADAM17).
75,Our study reports a novel function of BCRP in early placentation and suggests that exposure of EVTs to maternal infection/inflammation could disrupt their migration potential via the downregulation of BCRP.
76,"Further sequencing analysis showed that the mutation frequency in ribavirin-treated cells was similar to that in untreated cells, indicating that ribavirin did not induce error-prone replication."
77,"Here, we will review the proteolytic systems hijacked by SARS-CoV for S protein activation, we will discuss their contribution to viral spread in the host and we will outline antiviral strategies targeting these enzymes."
78,Such studies can address potential differences in the diagnostic outcomes between patients who develop detectable Oseltamivir resistance and those who retain only the wild type strain of H5N1.
79,In vitro and in vivo data revealed that the TACE inhibitor TAPI-2 attenuated entry of both pseudotyped virus expressing the SARS-S protein in a lentiviral vector backbone and infectious SARS-CoV.
80,"Instead, a so far unknown leupeptin-sensitive host cell protease activated cellular SARS-S for fusion with target cells expressing high levels of ACE2."
81,"Using a phage display technology in a chicken system, high-affinity monoclonal antibody fragments against the SARS-CoV spike protein were characterized."
82,"Like ACE, ACE2 is an integral (type I) membrane zinc metallopeptidase, which exists as an ectoenzyme."
83,First ACE2 has emerged as a potent negative regulator of the RAS counterbalancing the multiple functions of ACE.
84,"Also, the protease Factor Xa, a target of Ben-HCl abundantly expressed in infected cells, was able to cleave the recombinant and pseudoviral S protein into S1 and S2 subunits, and the cleavage was inhibited by Ben-HCl."
85,"Strain v2163 increased IL-1α, IL-6, MIP-1α, MCP-1, and RANTES in mice, and high IL-6 expression correlated with mortality."
86,"In addition, sACE2 increases the expression of Akt, thereby lowering the proportion of the signalling molecule phosphorylated Akt."
87,"RESULTS: We showed that EV71 infection could activate both JNK1/2 and p38 MAPK in iDCs and phosphorylate their downstream transcription factors c-Fos and c-Jun, which further promoted the production of IL-2, IL-6, IL-10, and TNF-α."
88,Hydroxychloroquine (HCQ) is an antimalarial drug also used in treating autoimmune diseases.
89,"Immunocytochemical and protein analysis detected angiotensin II (Ang II) and ACE2, as well as angiotensin Type 1 receptor (AT1R) and Type 2 receptor (AT2R), in TI cells."
90,"In mammalian cells, we observed an inhibitory effect of ribavirin on ZIKV replication and ZIKV-induced cell death without cytotoxic effect."
91,"Studies focusing on ACE2 have helped to reveal other actions of Ang-(1-7), outside vasodilation, such as antifibrotic and antiproliferative effects."
92,Following CpG stimulation BANK1 deficiency reduced p38 phosphorylation without affecting that of ERK or JNK and reduced IL-6 secretion.
93,"Drug-eluting stenting (DES), including paclitaxel-eluting stenting (PES) and sirolimus-eluting stenting (SES), has been proven to have a lower restenotic rate."
94,Angiotensin-converting enzyme 2 (ACE2) is the cellular receptor for SARS-associated coronavirus (SARS-CoV).
95,"Mass spectrometry of the two deglycosylated fragments identified peptides matching mouse ACE2 at positions 18-706 and 18-577, respectively."
96,"SP-4 (residues 192–203), SP-8 (residues 483–494), and SP-10 (residues 668–679) significantly blocked the interaction between S protein and ACE2 by biotinylated enzyme-linked immunosorbent assay, with IC50 values of 4.30±2.18, 6.99±0.71, and 1.88±0.52nmol, respectively."
97,"The discovery of ACE2, which primarily metabolises Ang II into the vasodilatory Ang-(1-7), has added a new dimension to the traditional RAS."
98," Initial in vitro investigations demonstrated type I interferons (IFNs: IFN-α, IFN-β) to inhibit replication of SARS coronavirus (SARS-CoV), but found the nucleoside analogue ribavirin ineffective in Vero cells."
99,"Under non-contact culture, LPS-activated macrophages effectively triggered the expression of soluble immuno-modulating factors in OFSCs, i.e., IL-10, IL-1 receptor antagonist (IL-1 RA), indoleamine 2,3-dioxygenase, and soluble TNF receptor type II (sTNF RII)."
100,ACE2 efficiently hydrolyses the potent vasoconstrictor angiotensin II to angiotensin (1–7).
101,"Using a molecular cDNA infectious clone to generate a corresponding recombinant virus, we show for the first time that such point mutation in the HCoV-OC43 S glycoprotein creates a functional cleavage site between the S1 and S2 portions of the S protein."
102,"Results: Increased ACE and equivalent ACE2 activities, resulting in a significantly increased ACE/ACE2 ratio in exudates, were detected compared to these values in transudates."
103,"METHODS: The colonic expression/activity profile of ACE2, Ang 1–7, MAS1-receptor (MAS1-R), MAPK family and Akt were determined by western blot and immunofluorescence."
104,"After adjusting for confounding factors, inverse correlations between AHSG and CRP and the need for anti-TNFα therapy or surgery, were found (partial correlation coefficients: -0.31, -0.33, -0.41, respectively, P < 0.05, in all cases)."
105,"Ritonavir, lopinavir and darunavir were then docked to the models, respectively, followed by energy minimization of the protease-drug complexes."
106, The discovery of angiotensin-I-converting enzyme 2 (ACE2) and a (pro)renin receptor has renewed interest in the physiology of the renin-angiotensin system (RAS).
107,"Finally, we found that ACE2 cleavage could be regulated by influenza neuraminidase (NA), which was fundamentally different from the classically sheddase-induced proteolytic cleavage of ACE2."
108,A similar result was found in IL-1β gene expression and TNFα secretion.
109,"There was a significant correlation between ACE and ACE2 gene expression, AT1 and MAS gene expression, Ang II and Ang(1–7) in the liver of rats."
110,"According to the current subject knowledge, there are two main axes of the RAAS: (1) angiotensin-converting enzyme (ACE)-angiotensin II-AT(1) receptor axis and (2) ACE2-angiotensin-(1-7)-Mas receptor axis."
111,"In addition, treatment of EV71-infected iDCs with SP600125 and SB203580 could inhibit secretions of IL-6, IL-10 and TNF-α."
112,"As the catalytic efficiency of ACE2 is approximately 400-fold higher with Ang II as a substrate than with Ang I, this axis is possibly acting as a counter-regulatory system against the ACE/Ang II/AT(1) receptor axis."
113,"Here-in we reviewed how myocardial I/R injury sets in by up-regulation of angiotensin II that leads to increased infarct size, which can be reduced by the use of ACE inhibitors, ACE2 activators and angiotensin II antagonist."
114,"Since its discovery in 2000, ACE2 has been implicated in heart function, hypertension and diabetes, with its effects being mediated, in part, through its ability to convert angiotensin II to angiotensin-(1–7)."
115,"We demonstrated in vitro that transfection with ACE2 chemically modified messenger RNA (cmRNA) leads to robust translation of fully matured, membrane-anchored ACE2 protein."
116,"Here, the potent inhibition induced by saquinavir and nelfinavir on the replication of both vesicular stomatitis and influenza viruses is described."
117,"In conclusion, this is the first report of small peptides designed to disrupt the binding of SARS-CoV S protein to ACE2."
118,"These data indicate that urinary ACE2 is increased in renal transplant recipients with diabetes, possibly due to increased shedding from tubular cells."
119,"Experiments with various timings of drug addition revealed that nelfinavir exerted its effect not at the entry step, but at the post-entry step of SARS-CoV infection."
120,The importance of ACE2 in normal physiology and pathophysiological states is largely unknown.
121,"MERS pseudovirions released from 293T cells contained only uncleaved S, and pseudovirus entry was blocked by lysosomotropic reagents NH(4)Cl and bafilomycin and inhibitors of cathepsin L. However, when MERS pseudovirions with uncleaved S protein were adsorbed at 4°C to Vero E6 cells, brief trypsin treatment at neutral pH triggered virus entry at the plasma membrane and syncytia formation."
122,"Semi-quantitative reverse-transcription polymerase chain reaction (RT-PCR) assay further confirmed the suppression of LPS-induced TNF- α, IL-6, iNOS and COX-2 gene expression by luteolin at a transcriptional level."
123,"It is suggested that the therapeutic effect of ritonavir and lopinavir on COVID-19 may be mainly due to their inhibitory effect on CEP_C30, while ritonavir may have stronger efficacy; the inhibitory effect of darunavir on SARS-CoV-2 and its potential therapeutic effect may be mainly due to its inhibitory effect on PLVP."
124,The pharmacological and therapeutic potential of enhancing ACE2/Ang 1–7 action as a novel therapy for heart failure is highlighted.
125,"We demonstrated the ability of these three viral polymerase inhibitors, 3′-fluoro-3′-deoxythymidine triphosphate, 3′-azido-3′-deoxythymidine triphosphate and Tenofovir diphosphate (the active triphosphate forms of Alovudine, AZT and TAF, respectively) to be incorporated by SARS-CoV-2 RdRp, where they also terminate further polymerase extension."
126,Further investigations are needed to clarify the regulation and mechanism of action of ACE2 and Ang-(1–7).
127,"This is the first report to demonstrate that PEDV N protein can induce cell cycle prolongation at the S-phase, ER stress and up-regulation interleukin-8 expression."
128,An anti-ACE2 polyclonal antiserum (that prevents coronavirus infection in cell cultures) was used as a positive control and allowed to validate the assay for antiviral screening purposes.
129,"These results suggest that the ACE2/Ang–(1–7)/Mas axis has a crucial role in preventing LPS–induced apoptosis and inflammation of PMVECs, by inhibiting the JNK/NF–κB pathways."
130,"METHODOLOGY/PRINCIPAL FINDINGS: We used quantitative RT-PCR and found that only low levels of IFN-β and inflammatory cytokines such as interleukin 10 (IL-10), IL-12 and tumor necrosis factor α (TNFα) mRNA were detected in DENV-2–infected bone-marrow–derived dendritic cells."
131,"Moreover, increasing numbers of IFN-stimulated genes (ISGs) are being identified as targets of the NS proteins in recent years, highlighting an underexplored protein family in the identification of NS target proteins."
132,"Our in vitro data also indicate that insulin/IRS-1/PI3K signaling is required for ACE2 expression in cardiomyocytes, and that hypoxia can enhance the induction effect of insulin/IRS-1/PI3K signaling on ACE2 expression in cardiomyocytes."
133,"Stiffening correlated with the cytokines interleukin IL-1β, IL-8, tumor necrosis factor TNF-α, and IL-10 but not with interferon-γ, transforming growth factor-β, IL-6, or IL-17."
134,"Hence, IL-6 is assumed to provide a target for a broad range of antiviral agents."
135,"Based on this structure and existing experimental datasets for SARS 3CL protease inhibitors, we develop an SBDR model based on machine learning and mathematics to screen 1465 drugs in the DrugBank that have been approved by the U.S. Food and Drug Administration (FDA)."
136,Mizoribine and ribavirin selectively inhibited replication of SARS-CoV.
137,"In rats with subtotal nephrectomy (STNx), adverse cardiac remodelling occurs despite elevated cardiac ACE2 activity."
138,"ACE2 was discovered in 2000; it converts Ang II into Ang(1–7), thereby reducing the concentration of Ang II as well as increasing that of Ang(1–7), an important enzyme for Ang(1–7)/Mas receptor signaling."
139,"We solved the X-ray crystal structure of six-helical bundle (6-HB) core of the HR1 and HR2 domains in SARS-CoV-2 S protein S2 subunit, revealing that several mutated amino acid residues in the HR1 domain may be associated with enhanced interactions with HR2 domain."
140,We identified differential mRNA abundances of genes with functional properties associated with antiviral (CXCL10) and inflammatory (IL-6 and IL-8) responses.
141,"The serum concentrations achievable at therapeutic doses of mycophenolic acid and interferon-β1b were 60–300 and 3–4 times higher than the concentrations at which in-vitro anti-MERS-CoV activities were demonstrated, whereas that of ribavirin was ∼2 times lower."
142,And the predictions further indicate that some viral prototypes might utilize the rat ACE2 while rats might serve as a vector or reservoir of SARS-CoV.
143,"Current research is investigating novel strategies to augment actions of the vasoprotective RAS components, particularly ACE2, in order to treat various pathologies."
144,"Despite a high similarity with the genome sequence of SARS-CoV and SARS-like CoVs, we identified a peculiar furin-like cleavage site in the Spike protein of the 2019-nCoV, lacking in the other SARS-like CoVs."
145,"In addition, we showed that CVL218 is able to suppress the CpG-induced IL-6 production in peripheral blood mononuclear cells, suggesting that it may also have anti-inflammatory effect that is highly relevant to the prevention immunopathology induced by SARS-CoV-2 infection."
146,These structural and functional changes in the glomeruli of male ACE2 mutant mice were prevented by treatment with the angiotensin II type-1 receptor antagonist irbesartan.
147,Modifications of the P1 benzyl moiety led to improvements in ACE2 potency as well as to increased selectivity versus ACE and NEP.
148,METHODS: We developed a sensitive and specific assay to measure sACE2 activity in human plasma and screened a heterogeneous group of patients suspected of having clinical HF.
149,"Here, we report the discovery that two SARS-CoV PLpro inhibitors, 6-mercaptopurine (6MP) and 6-thioguanine (6TG), as well as the immunosuppressive drug mycophenolic acid, are able to inhibit MERS-CoV PLpro."
150,"The ACE2-Ang-(1-7)-Mas receptor axis has a different role, since it often opposes the effects induced by the classical ACE-Ang II-AT(1) axis."
151,"Using the same molecular insight, we selected two other anti-viral agents, Alovudine and AZT (an FDA approved HIV/AIDS drug) for evaluation as inhibitors of SARS-CoV RdRp."
152,"In addition, N. fowleri lysates induces the DNA binding activity of activator protein-1 (AP-1), an important transcription factor for IL-8 induction."
153,Identification of exact amino acid residues that are crucial for the interaction of S1 with ACE2 could provide working hypotheses for experimental studies and might be helpful for the development of antiviral inhibitor.
154,"We also investigate the subcellular localization and function of PEDV N protein by examining its effects on cell growth, cycle progression, interleukin-8 (IL-8) expression, and survival."
155,Activation of ACE2 and inhibition of ACE and renin have been at the core of the RAS regulation.
156,"Here, we investigated the mechanism for constitutive shedding of ACE2."
157,"Apelin induces the expression of angiotensin-converting enzyme 2 (ACE2) in failing hearts, thereby improving heart function in an angiotensin 1–7-dependent manner."
158,Our data do not support the use of ribavirin or other IMP dehydrogenase inhibitors for treating SARS infections in humans.
159,"In recent years, a growing number of ribavirin resistant and sensitive variants have been identified."
160,"Anti-LSECtin mAb engagement induced TNF-α and IL-6 production in DCs, whereas silencing of LSECtin abrogated this effect."
161,Our data suggest that sACE2 is involved in the pathomechanism of hypertension and HF.
162,"Since the downregulation of ACE2 by SARS-S protein was proposed as an etiological event in the severe clinical manifestations, our data suggest that TACE antagonists block SARS-CoV infection and also attenuate its severe clinical outcome."
163,The aim of this study was to evaluate the regulation of vascular function and assess the vascular redox balance in ACE2-deficient (ACE2(-/y)) animals.
164,"Here, from the perspective of clinical immunologists, we will discuss the clinical and immunological characteristics of severe patients, and summarize the current evidence and share our experience in anti-inflammation treatment, including glucocorticoids, IL-6 antagonist, JAK inhibitors and choloroquine/hydrocholoroquine, of patients with severe COVID-19 that may have an impaired immune system."
165,"Moreover, PASMCs from 6-month exposed rats proliferated more rapidly than those from 3-month exposed or control rats, and cells grew even more rapidly in the presence of DX600, an ACE2 inhibitor."
166,This review summarizes recently published data on the central effects of ACE2 in the regulation of cardiovascular function.
167,"This review highlights new developments in the protective actions of ACE2 against cardiopulmonary disorders, discusses innovative approaches to targeting ACE2 for therapy, and explores an evolving role for gut and lung microbiota in cardiopulmonary health."
168,We reviewed TH17 responses in patients with SARS-CoV-2 and proposed an FDA approved JAK2 inhibitor Fedratinib for reducing mortality of patients with TH17 type immune profiles.
169," Angiotensin-converting enzyme-2 (ACE2) is a regulatory protein of the renin–angiotensin system (RAS) and a receptor for the causative agent of severe-acute respiratory syndrome (SARS), the SARS-coronavirus."
170,Structural characterization of MERS-CoV S protein bound with these monoclonal antibodies has provided insights into the mechanisms of humoral immune responses against MERS-CoV infection.
171," Because of the conflicting data concerning the SARS-CoV inhibitory efficacy of ribavirin, an inosine monophosphate (IMP) dehydrogenase inhibitor, studies were done to evaluate the efficacy of ribavirin and other IMP dehydrogenase inhibitors (5-ethynyl-1-β-d-ribofuranosylimidazole-4-carboxamide (EICAR), mizoribine, and mycophenolic acid) in preventing viral replication in the lungs of BALB/c mice, a replication model for severe acute respiratory syndrome (SARS) infections (Subbarao, K., McAuliffe, J., Vogel, L., Fahle, G., Fischer, S., Tatti, K., Packard, M., Shieh, W.J., Zaki, S., Murphy, B., 2004."
172,"Here, we created a non-palmitoylated SARS-CoV S protein by mutating all nine cytoplasmic cysteine residues."
173,"After Cox multivariable adjustment, log ACE2 activity remained an independent predictor of MACE (hazard ratio (HR) 2.4, 95% confidence interval (CI) 1.24–4.72, p = 0.009) and HF hospitalisation (HR: 4.03, 95% CI: 1.42–11.5, p = 0.009)."
174,"Lipid peroxidation was significantly increased and superoxide dismutase activity was decreased in aorta homogenates of ACE2(-/y) mice, indicating impaired antioxidant capacity."
175,now show that increased podocyte ACE2 activity can attenuate the development of diabetic nephropathy.
176,"However, on farms they often co-infect pigs with the PEDV containing an intact S protein (S-intact PEDV)."
177,"Angiotensin-converting enzyme 2 (ACE2) degrades angiotensin (Ang) II to Ang-(1–7), and protects against diabetic renal injury."
178,"We identified a single siRNA sequence, which displayed a favorable profile of efficient Syk knockdown, blockage of FcεRI-mediated signal transduction, degranulation and TNFα secretion and a lack of IFIT1 induction."
179,"In the current study, we report that ACE2 could mediate the severe acute lung injury induced by influenza A (H7N9) virus infection in an experimental mouse model."
180,Oseltamivir is an oral agent approved for prophylaxis and the treatment of influenza infections.
181,"CXCL10KO mice and mice treated with anti-CXCL10 IgG showed attenuated hypothermia, lower concentrations of interleukin-6 (IL-6) and macrophage inhibitory protein-2 (MIP-2) in plasma and lessened natural killer (NK) cell activation compared to control mice."
182,"Podocytes have also been shown to express angiotensin-converting enzyme 2 (ACE2), which can decrease angiotensin II levels by generation of angiotensin-(1–7)."
183,By targeting angiotensin II ACE2 exhibits a protective role in the cardiovascular system and many other organs.
184,"To develop broad spectrum anti-viral agents, we further describe a novel strategy to design and synthesize viral polymerase inhibitors, by combining the ProTide Prodrug approach used in the development of Sofosbuvir with the use of 3’-blocking groups that we have previously built into nucleotide analogues that function as polymerase terminators."
185,"Here we investigated the actions of diminazene, a recently developed ACE2 activator compound, in a model of vulnerable atherosclerotic plaque."
186,"Results：Significantly, disease severity were associated with age (R=-0.564, P<0.001), interleukin-2 receptor (IL2R) (R=-0.534, P<0.001), interleukin-6 (IL-6) (R=-0.535, P<0.001), interleukin-8 (IL-8) (R=-0.308, P<0.001), interleukin-10 (IL-10) (R=-0.422, P<0.001), tumor necrosis factor α (TNFα) (R=-0.322, P<0.001), C-reactive protein (CRP) (R=-0.604, P<0.001), ferroprotein (R=-0.508, P<0.001), procalcitonin (R=-0.650, P<0.001), white cell counts (WBC) (R=-0.54, P<0.001), lymphocyte counts (LC) (R=-0.56, P<0.001), neutrophil count (NC) (R=-0.585, P<0.001) and eosinophil counts (EC) (R=-0.299, P=0.01)."
